event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;2 ;0 ;72 ;
101 ;0 ;0 ;3 ;0 ;25 ;
101 ;0 ;0 ;4 ;0 ;104 ;
101 ;0 ;0 ;5 ;0 ;13 ;
101 ;0 ;1 ;2 ;0 ;135 ;
101 ;0 ;1 ;3 ;0 ;67 ;
101 ;0 ;1 ;4 ;0 ;115 ;
101 ;0 ;1 ;5 ;0 ;22 ;
101 ;0 ;2 ;1 ;0 ;39 ;
101 ;0 ;2 ;2 ;0 ;111 ;
101 ;0 ;2 ;3 ;0 ;85 ;
101 ;0 ;2 ;4 ;0 ;19 ;
101 ;0 ;2 ;5 ;0 ;90 ;
101 ;0 ;2 ;6 ;0 ;81 ;
101 ;0 ;3 ;1 ;0 ;62 ;
101 ;0 ;3 ;2 ;0 ;10 ;
101 ;0 ;3 ;3 ;0 ;6 ;
101 ;0 ;3 ;4 ;0 ;17 ;
101 ;0 ;3 ;5 ;0 ;86 ;
101 ;0 ;3 ;6 ;0 ;139 ;
101 ;0 ;4 ;1 ;0 ;80 ;
101 ;0 ;4 ;2 ;0 ;15 ;
101 ;0 ;4 ;3 ;0 ;91 ;
101 ;0 ;4 ;4 ;0 ;46 ;
101 ;0 ;4 ;5 ;0 ;23 ;
101 ;0 ;4 ;6 ;0 ;51 ;
101 ;0 ;5 ;1 ;0 ;77 ;
101 ;0 ;5 ;2 ;0 ;65 ;
101 ;0 ;5 ;3 ;0 ;54 ;
101 ;0 ;5 ;4 ;0 ;37 ;
101 ;0 ;5 ;5 ;0 ;21 ;
101 ;0 ;5 ;6 ;0 ;75 ;
102 ;0 ;0 ;2 ;0 ;97 ;
102 ;0 ;0 ;3 ;0 ;136 ;
102 ;0 ;0 ;4 ;0 ;131 ;
102 ;0 ;0 ;5 ;0 ;52 ;
102 ;0 ;1 ;2 ;0 ;60 ;
102 ;0 ;1 ;3 ;0 ;95 ;
102 ;0 ;1 ;4 ;0 ;130 ;
102 ;0 ;1 ;5 ;0 ;89 ;
102 ;0 ;2 ;1 ;0 ;143 ;
102 ;0 ;2 ;2 ;0 ;66 ;
102 ;0 ;2 ;3 ;0 ;119 ;
102 ;0 ;2 ;4 ;0 ;8 ;
102 ;0 ;2 ;5 ;0 ;120 ;
102 ;0 ;2 ;6 ;0 ;4 ;
103 ;0 ;0 ;1 ;0 ;40 ;
103 ;0 ;0 ;2 ;0 ;133 ;
103 ;0 ;0 ;3 ;0 ;29 ;
103 ;0 ;0 ;4 ;0 ;1 ;
103 ;0 ;0 ;5 ;0 ;138 ;
103 ;0 ;1 ;1 ;0 ;64 ;
103 ;0 ;1 ;2 ;0 ;161 ;
103 ;0 ;1 ;3 ;0 ;99 ;
103 ;0 ;1 ;4 ;0 ;28 ;
103 ;0 ;1 ;5 ;0 ;36 ;
103 ;0 ;2 ;1 ;0 ;137 ;
103 ;0 ;2 ;2 ;0 ;20 ;
103 ;0 ;2 ;3 ;0 ;33 ;
103 ;0 ;2 ;4 ;0 ;108 ;
103 ;0 ;2 ;5 ;0 ;59 ;
103 ;0 ;2 ;6 ;0 ;142 ;
104 ;0 ;0 ;1 ;0 ;94 ;
104 ;0 ;0 ;2 ;0 ;122 ;
104 ;0 ;0 ;3 ;0 ;45 ;
104 ;0 ;0 ;4 ;0 ;105 ;
104 ;0 ;0 ;5 ;0 ;160 ;
104 ;0 ;0 ;6 ;0 ;55 ;
104 ;0 ;1 ;1 ;0 ;70 ;
104 ;0 ;1 ;2 ;0 ;68 ;
104 ;0 ;1 ;3 ;0 ;159 ;
104 ;0 ;1 ;4 ;0 ;30 ;
104 ;0 ;1 ;5 ;0 ;153 ;
104 ;0 ;1 ;6 ;0 ;61 ;
104 ;0 ;2 ;1 ;0 ;150 ;
104 ;0 ;2 ;2 ;0 ;127 ;
104 ;0 ;2 ;3 ;0 ;2 ;
104 ;0 ;2 ;4 ;0 ;76 ;
104 ;0 ;2 ;5 ;0 ;117 ;
104 ;0 ;2 ;6 ;0 ;58 ;
201 ;0 ;0 ;2 ;0 ;145 ;
201 ;0 ;0 ;3 ;0 ;16 ;
201 ;0 ;0 ;4 ;0 ;121 ;
201 ;0 ;1 ;2 ;0 ;146 ;
201 ;0 ;1 ;3 ;0 ;47 ;
201 ;0 ;1 ;4 ;0 ;132 ;
201 ;0 ;1 ;5 ;0 ;7 ;
203 ;0 ;0 ;2 ;0 ;151 ;
203 ;0 ;0 ;3 ;0 ;126 ;
203 ;0 ;0 ;4 ;0 ;90 ;
203 ;0 ;1 ;2 ;0 ;11 ;
203 ;0 ;1 ;3 ;0 ;93 ;
203 ;0 ;1 ;4 ;0 ;48 ;
203 ;0 ;1 ;5 ;0 ;139 ;
203 ;0 ;2 ;1 ;0 ;111 ;
203 ;0 ;2 ;2 ;0 ;165 ;
203 ;0 ;2 ;3 ;0 ;84 ;
203 ;0 ;2 ;4 ;0 ;26 ;
203 ;0 ;2 ;5 ;0 ;115 ;
203 ;0 ;2 ;6 ;0 ;25 ;
203 ;0 ;3 ;1 ;0 ;19 ;
203 ;0 ;3 ;2 ;0 ;82 ;
203 ;0 ;3 ;3 ;0 ;81 ;
203 ;0 ;3 ;4 ;0 ;22 ;
203 ;0 ;3 ;5 ;0 ;85 ;
203 ;0 ;3 ;6 ;0 ;17 ;
203 ;0 ;4 ;1 ;0 ;15 ;
203 ;0 ;4 ;2 ;0 ;46 ;
203 ;0 ;4 ;3 ;0 ;10 ;
203 ;0 ;4 ;4 ;0 ;72 ;
203 ;0 ;4 ;5 ;0 ;6 ;
203 ;0 ;4 ;6 ;0 ;80 ;
203 ;0 ;5 ;1 ;0 ;13 ;
203 ;0 ;5 ;2 ;0 ;86 ;
203 ;0 ;5 ;3 ;0 ;77 ;
203 ;0 ;5 ;4 ;0 ;75 ;
203 ;0 ;5 ;5 ;0 ;135 ;
203 ;0 ;5 ;6 ;0 ;51 ;
203 ;0 ;6 ;1 ;0 ;21 ;
203 ;0 ;6 ;2 ;0 ;23 ;
203 ;0 ;6 ;3 ;0 ;37 ;
203 ;0 ;6 ;4 ;0 ;65 ;
203 ;0 ;6 ;5 ;0 ;54 ;
203 ;0 ;6 ;6 ;0 ;91 ;
204 ;0 ;0 ;1 ;0 ;69 ;
204 ;0 ;0 ;2 ;0 ;52 ;
