id;event;round ;heat
1 ;101 ;0 ;0 ;
2 ;101 ;0 ;0 ;
3 ;101 ;0 ;0 ;
4 ;101 ;0 ;0 ;
5 ;101 ;0 ;1 ;
6 ;101 ;0 ;1 ;
7 ;101 ;0 ;2 ;
8 ;101 ;0 ;3 ;
9 ;101 ;0 ;4 ;
10 ;101 ;0 ;5 ;
11 ;102 ;0 ;0 ;
12 ;102 ;0 ;1 ;
13 ;102 ;0 ;2 ;
14 ;103 ;0 ;0 ;
15 ;103 ;0 ;1 ;
16 ;103 ;0 ;2 ;
17 ;104 ;0 ;0 ;
18 ;104 ;0 ;1 ;
19 ;104 ;0 ;2 ;
20 ;201 ;0 ;0 ;
21 ;201 ;0 ;1 ;
22 ;203 ;0 ;0 ;
23 ;203 ;0 ;1 ;
24 ;203 ;0 ;2 ;
25 ;203 ;0 ;3 ;
26 ;203 ;0 ;4 ;
27 ;203 ;0 ;5 ;
28 ;203 ;0 ;6 ;
29 ;204 ;0 ;0 ;
30 ;204 ;0 ;1 ;
31 ;204 ;0 ;2 ;
32 ;205 ;0 ;0 ;
33 ;205 ;0 ;1 ;
34 ;205 ;0 ;2 ;
35 ;205 ;0 ;3 ;
36 ;205 ;0 ;4 ;
37 ;206 ;0 ;0 ;
38 ;206 ;0 ;1 ;
39 ;206 ;0 ;2 ;
40 ;206 ;0 ;3 ;
41 ;207 ;0 ;0 ;
42 ;207 ;0 ;1 ;
43 ;207 ;0 ;2 ;
44 ;207 ;0 ;3 ;
45 ;207 ;0 ;4 ;
46 ;207 ;0 ;5 ;
47 ;207 ;0 ;6 ;
48 ;207 ;0 ;7 ;
49 ;208 ;0 ;0 ;
50 ;208 ;0 ;1 ;
51 ;208 ;0 ;2 ;
52 ;208 ;0 ;3 ;
53 ;209 ;0 ;0 ;
54 ;209 ;0 ;1 ;
55 ;209 ;0 ;2 ;
56 ;209 ;0 ;3 ;
57 ;210 ;0 ;0 ;
58 ;210 ;0 ;1 ;
59 ;210 ;0 ;2 ;
60 ;210 ;0 ;3 ;
61 ;211 ;0 ;0 ;
62 ;213 ;0 ;0 ;
63 ;213 ;0 ;1 ;
64 ;213 ;0 ;2 ;
65 ;213 ;0 ;3 ;
66 ;213 ;0 ;4 ;
67 ;213 ;0 ;5 ;
68 ;213 ;0 ;6 ;
69 ;214 ;0 ;0 ;
70 ;214 ;0 ;1 ;
71 ;214 ;0 ;2 ;
72 ;214 ;0 ;3 ;
73 ;215 ;0 ;0 ;
74 ;215 ;0 ;1 ;
75 ;215 ;0 ;2 ;
