event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
801 ;0 ;0 ;0 ;0 ;0 ;0 ;37278350 ;" 10:21:18.35" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
801 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
801 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
801 ;0 ;0 ;0 ;3 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
801 ;0 ;0 ;0 ;4 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
801 ;0 ;0 ;0 ;5 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
801 ;0 ;0 ;0 ;6 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
801 ;0 ;0 ;50 ;5 ;0 ;1 ;34370 ;"       34.37" ;" " ;34840 ;"       34.84" ;"A" ;0 ;"" ;"" ;
801 ;0 ;0 ;50 ;6 ;0 ;2 ;35760 ;"       35.76" ;" " ;35880 ;"       35.88" ;"A" ;0 ;"" ;"" ;
801 ;0 ;0 ;50 ;2 ;0 ;3 ;38920 ;"       38.92" ;" " ;39080 ;"       39.08" ;"A" ;0 ;"" ;"" ;
801 ;0 ;0 ;50 ;4 ;0 ;4 ;40270 ;"       40.27" ;" " ;40960 ;"       40.96" ;"A" ;0 ;"" ;"" ;
801 ;0 ;0 ;50 ;3 ;0 ;5 ;40890 ;"       40.89" ;" " ;41040 ;"       41.04" ;"A" ;0 ;"" ;"" ;
801 ;0 ;0 ;100 ;5 ;0 ;1 ;72480 ;"     1:12.48" ;" " ;72960 ;"     1:12.96" ;"A" ;0 ;"" ;"" ;
801 ;0 ;0 ;100 ;6 ;0 ;2 ;77880 ;"     1:17.88" ;" " ;78000 ;"     1:18.00" ;"A" ;0 ;"" ;"" ;
801 ;0 ;0 ;100 ;2 ;0 ;3 ;83000 ;"     1:23.00" ;" " ;83180 ;"     1:23.18" ;"A" ;0 ;"" ;"" ;
801 ;0 ;0 ;100 ;4 ;0 ;4 ;88140 ;"     1:28.14" ;" " ;88300 ;"     1:28.30" ;"A" ;0 ;"" ;"" ;
801 ;0 ;0 ;100 ;3 ;0 ;5 ;88230 ;"     1:28.23" ;" " ;88530 ;"     1:28.53" ;"A" ;0 ;"" ;"" ;
