event; round;heat;lane;relais;idBib;
901 ;0 ;0 ;1 ;0 ;89 ;
901 ;0 ;0 ;2 ;0 ;66 ;
901 ;0 ;0 ;3 ;0 ;119 ;
901 ;0 ;0 ;4 ;0 ;8 ;
901 ;0 ;0 ;5 ;0 ;120 ;
901 ;0 ;0 ;6 ;0 ;95 ;
902 ;0 ;0 ;2 ;0 ;46 ;
902 ;0 ;0 ;3 ;0 ;22 ;
902 ;0 ;0 ;4 ;0 ;86 ;
902 ;0 ;0 ;5 ;0 ;51 ;
902 ;0 ;1 ;2 ;0 ;85 ;
902 ;0 ;1 ;3 ;0 ;81 ;
902 ;0 ;1 ;4 ;0 ;91 ;
902 ;0 ;1 ;5 ;0 ;80 ;
902 ;0 ;2 ;1 ;0 ;23 ;
902 ;0 ;2 ;2 ;0 ;65 ;
902 ;0 ;2 ;3 ;0 ;37 ;
902 ;0 ;2 ;4 ;0 ;54 ;
902 ;0 ;2 ;5 ;0 ;21 ;
902 ;0 ;2 ;6 ;0 ;75 ;
903 ;0 ;0 ;2 ;0 ;105 ;
903 ;0 ;0 ;3 ;0 ;45 ;
903 ;0 ;0 ;4 ;0 ;68 ;
903 ;0 ;1 ;2 ;0 ;150 ;
903 ;0 ;1 ;3 ;0 ;127 ;
903 ;0 ;1 ;4 ;0 ;2 ;
903 ;0 ;1 ;5 ;0 ;30 ;
904 ;0 ;0 ;1 ;0 ;40 ;
904 ;0 ;0 ;2 ;0 ;29 ;
904 ;0 ;0 ;3 ;0 ;99 ;
904 ;0 ;0 ;4 ;0 ;28 ;
904 ;0 ;0 ;5 ;0 ;50 ;
904 ;0 ;1 ;1 ;0 ;36 ;
904 ;0 ;1 ;2 ;0 ;20 ;
904 ;0 ;1 ;3 ;0 ;59 ;
904 ;0 ;1 ;4 ;0 ;63 ;
904 ;0 ;1 ;5 ;0 ;142 ;
