event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;1 ;0 ;127 ;
101 ;0 ;0 ;2 ;0 ;101 ;
101 ;0 ;0 ;3 ;0 ;187 ;
101 ;0 ;0 ;4 ;0 ;232 ;
101 ;0 ;0 ;5 ;0 ;233 ;
101 ;0 ;1 ;1 ;0 ;272 ;
101 ;0 ;1 ;2 ;0 ;181 ;
101 ;0 ;1 ;3 ;0 ;114 ;
101 ;0 ;1 ;4 ;0 ;104 ;
101 ;0 ;1 ;5 ;0 ;254 ;
101 ;0 ;2 ;1 ;0 ;235 ;
101 ;0 ;2 ;2 ;0 ;133 ;
101 ;0 ;2 ;3 ;0 ;256 ;
101 ;0 ;2 ;4 ;0 ;250 ;
101 ;0 ;2 ;5 ;0 ;35 ;
101 ;0 ;2 ;6 ;0 ;88 ;
101 ;0 ;3 ;1 ;0 ;43 ;
101 ;0 ;3 ;2 ;0 ;168 ;
101 ;0 ;3 ;3 ;0 ;143 ;
101 ;0 ;3 ;4 ;0 ;257 ;
101 ;0 ;3 ;5 ;0 ;269 ;
101 ;0 ;3 ;6 ;0 ;286 ;
101 ;0 ;4 ;1 ;0 ;253 ;
101 ;0 ;4 ;2 ;0 ;216 ;
101 ;0 ;4 ;3 ;0 ;111 ;
101 ;0 ;4 ;4 ;0 ;236 ;
101 ;0 ;4 ;5 ;0 ;98 ;
101 ;0 ;4 ;6 ;0 ;219 ;
101 ;0 ;5 ;1 ;0 ;90 ;
101 ;0 ;5 ;2 ;0 ;285 ;
101 ;0 ;5 ;3 ;0 ;147 ;
101 ;0 ;5 ;4 ;0 ;58 ;
101 ;0 ;5 ;5 ;0 ;130 ;
101 ;0 ;5 ;6 ;0 ;87 ;
101 ;0 ;6 ;1 ;0 ;99 ;
101 ;0 ;6 ;2 ;0 ;164 ;
101 ;0 ;6 ;3 ;0 ;271 ;
101 ;0 ;6 ;4 ;0 ;63 ;
101 ;0 ;6 ;5 ;0 ;126 ;
101 ;0 ;6 ;6 ;0 ;135 ;
101 ;0 ;7 ;1 ;0 ;180 ;
101 ;0 ;7 ;2 ;0 ;174 ;
101 ;0 ;7 ;3 ;0 ;72 ;
101 ;0 ;7 ;4 ;0 ;49 ;
101 ;0 ;7 ;5 ;0 ;241 ;
101 ;0 ;7 ;6 ;0 ;128 ;
101 ;0 ;8 ;1 ;0 ;158 ;
101 ;0 ;8 ;2 ;0 ;45 ;
101 ;0 ;8 ;3 ;0 ;33 ;
101 ;0 ;8 ;4 ;0 ;39 ;
101 ;0 ;8 ;5 ;0 ;197 ;
101 ;0 ;8 ;6 ;0 ;203 ;
101 ;0 ;9 ;1 ;0 ;283 ;
101 ;0 ;9 ;2 ;0 ;71 ;
101 ;0 ;9 ;3 ;0 ;217 ;
101 ;0 ;9 ;4 ;0 ;1 ;
101 ;0 ;9 ;5 ;0 ;188 ;
101 ;0 ;9 ;6 ;0 ;218 ;
101 ;0 ;10 ;1 ;0 ;160 ;
101 ;0 ;10 ;2 ;0 ;9 ;
101 ;0 ;10 ;3 ;0 ;265 ;
101 ;0 ;10 ;4 ;0 ;11 ;
101 ;0 ;10 ;5 ;0 ;136 ;
101 ;0 ;10 ;6 ;0 ;278 ;
102 ;0 ;0 ;1 ;0 ;198 ;
102 ;0 ;0 ;2 ;0 ;210 ;
102 ;0 ;0 ;3 ;0 ;268 ;
102 ;0 ;0 ;4 ;0 ;178 ;
102 ;0 ;0 ;5 ;0 ;169 ;
102 ;0 ;1 ;1 ;0 ;107 ;
102 ;0 ;1 ;2 ;0 ;108 ;
102 ;0 ;1 ;3 ;0 ;170 ;
102 ;0 ;1 ;4 ;0 ;261 ;
102 ;0 ;1 ;5 ;0 ;57 ;
103 ;0 ;0 ;2 ;0 ;101 ;
103 ;0 ;0 ;3 ;0 ;187 ;
103 ;0 ;0 ;4 ;0 ;232 ;
103 ;0 ;1 ;2 ;0 ;233 ;
103 ;0 ;1 ;3 ;0 ;272 ;
103 ;0 ;1 ;4 ;0 ;133 ;
103 ;0 ;1 ;5 ;0 ;127 ;
103 ;0 ;2 ;1 ;0 ;216 ;
103 ;0 ;2 ;2 ;0 ;175 ;
103 ;0 ;2 ;3 ;0 ;235 ;
103 ;0 ;2 ;4 ;0 ;254 ;
103 ;0 ;2 ;5 ;0 ;43 ;
103 ;0 ;2 ;6 ;0 ;114 ;
103 ;0 ;3 ;1 ;0 ;35 ;
103 ;0 ;3 ;2 ;0 ;59 ;
103 ;0 ;3 ;3 ;0 ;104 ;
103 ;0 ;3 ;4 ;0 ;256 ;
103 ;0 ;3 ;5 ;0 ;253 ;
103 ;0 ;3 ;6 ;0 ;181 ;
103 ;0 ;4 ;1 ;0 ;130 ;
103 ;0 ;4 ;2 ;0 ;168 ;
103 ;0 ;4 ;3 ;0 ;153 ;
103 ;0 ;4 ;4 ;0 ;236 ;
103 ;0 ;4 ;5 ;0 ;257 ;
103 ;0 ;4 ;6 ;0 ;138 ;
103 ;0 ;5 ;1 ;0 ;219 ;
103 ;0 ;5 ;2 ;0 ;164 ;
103 ;0 ;5 ;3 ;0 ;135 ;
103 ;0 ;5 ;4 ;0 ;142 ;
103 ;0 ;5 ;5 ;0 ;98 ;
103 ;0 ;5 ;6 ;0 ;90 ;
103 ;0 ;6 ;1 ;0 ;128 ;
103 ;0 ;6 ;2 ;0 ;241 ;
103 ;0 ;6 ;3 ;0 ;58 ;
103 ;0 ;6 ;4 ;0 ;111 ;
103 ;0 ;6 ;5 ;0 ;286 ;
103 ;0 ;6 ;6 ;0 ;285 ;
