id;event;round ;heat
1 ;1 ;0 ;0 ;
2 ;2 ;0 ;0 ;
3 ;2 ;0 ;0 ;
4 ;2 ;0 ;0 ;
5 ;2 ;0 ;0 ;
6 ;2 ;0 ;0 ;
7 ;3 ;0 ;0 ;
8 ;4 ;0 ;0 ;
9 ;5 ;0 ;0 ;
10 ;6 ;0 ;0 ;
11 ;7 ;0 ;0 ;
12 ;8 ;0 ;0 ;
13 ;9 ;0 ;0 ;
14 ;10 ;0 ;0 ;
15 ;11 ;0 ;0 ;
16 ;12 ;0 ;0 ;
17 ;13 ;0 ;0 ;
18 ;14 ;0 ;0 ;
19 ;15 ;0 ;0 ;
20 ;16 ;0 ;0 ;
21 ;17 ;0 ;0 ;
22 ;18 ;0 ;0 ;
23 ;19 ;0 ;0 ;
24 ;20 ;0 ;0 ;
25 ;21 ;0 ;0 ;
26 ;22 ;0 ;0 ;
27 ;23 ;0 ;0 ;
28 ;24 ;0 ;0 ;
29 ;25 ;0 ;0 ;
30 ;26 ;0 ;0 ;
31 ;27 ;0 ;0 ;
32 ;28 ;0 ;0 ;
33 ;29 ;0 ;0 ;
34 ;30 ;0 ;0 ;
35 ;31 ;0 ;0 ;
36 ;32 ;0 ;0 ;
37 ;33 ;0 ;0 ;
38 ;34 ;0 ;0 ;
39 ;35 ;0 ;0 ;
40 ;36 ;0 ;0 ;
41 ;37 ;0 ;0 ;
42 ;38 ;0 ;0 ;
43 ;39 ;0 ;0 ;
44 ;40 ;0 ;0 ;
45 ;41 ;0 ;0 ;
46 ;42 ;0 ;0 ;
47 ;43 ;0 ;0 ;
48 ;44 ;0 ;0 ;
49 ;45 ;0 ;0 ;
50 ;46 ;0 ;0 ;
51 ;47 ;0 ;0 ;
52 ;48 ;0 ;0 ;
53 ;49 ;0 ;0 ;
54 ;50 ;0 ;0 ;
