event; round;heat;lane;relais;idBib;
201 ;0 ;0 ;1 ;0 ;92 ;
201 ;0 ;0 ;2 ;0 ;285 ;
201 ;0 ;0 ;3 ;0 ;35 ;
201 ;0 ;0 ;4 ;0 ;300 ;
201 ;0 ;0 ;5 ;0 ;115 ;
201 ;0 ;1 ;1 ;0 ;102 ;
201 ;0 ;1 ;2 ;0 ;53 ;
201 ;0 ;1 ;3 ;0 ;137 ;
201 ;0 ;1 ;4 ;0 ;152 ;
201 ;0 ;1 ;5 ;0 ;147 ;
201 ;0 ;2 ;1 ;0 ;104 ;
201 ;0 ;2 ;2 ;0 ;366 ;
201 ;0 ;2 ;3 ;0 ;65 ;
201 ;0 ;2 ;4 ;0 ;306 ;
201 ;0 ;2 ;5 ;0 ;307 ;
201 ;0 ;2 ;6 ;0 ;105 ;
201 ;0 ;3 ;1 ;0 ;43 ;
201 ;0 ;3 ;2 ;0 ;106 ;
201 ;0 ;3 ;3 ;0 ;47 ;
201 ;0 ;3 ;4 ;0 ;71 ;
201 ;0 ;3 ;5 ;0 ;216 ;
201 ;0 ;3 ;6 ;0 ;82 ;
201 ;0 ;4 ;1 ;0 ;99 ;
201 ;0 ;4 ;2 ;0 ;210 ;
201 ;0 ;4 ;3 ;0 ;110 ;
201 ;0 ;4 ;4 ;0 ;320 ;
201 ;0 ;4 ;5 ;0 ;136 ;
201 ;0 ;4 ;6 ;0 ;29 ;
201 ;0 ;5 ;1 ;0 ;1 ;
201 ;0 ;5 ;2 ;0 ;31 ;
201 ;0 ;5 ;3 ;0 ;362 ;
201 ;0 ;5 ;4 ;0 ;276 ;
201 ;0 ;5 ;5 ;0 ;337 ;
201 ;0 ;5 ;6 ;0 ;9 ;
201 ;0 ;6 ;1 ;0 ;151 ;
201 ;0 ;6 ;2 ;0 ;290 ;
201 ;0 ;6 ;3 ;0 ;48 ;
201 ;0 ;6 ;4 ;0 ;77 ;
201 ;0 ;6 ;5 ;0 ;52 ;
201 ;0 ;6 ;6 ;0 ;158 ;
202 ;0 ;0 ;2 ;0 ;88 ;
202 ;0 ;0 ;3 ;0 ;86 ;
202 ;0 ;0 ;4 ;0 ;227 ;
202 ;0 ;0 ;5 ;0 ;192 ;
202 ;0 ;1 ;2 ;0 ;359 ;
202 ;0 ;1 ;3 ;0 ;79 ;
202 ;0 ;1 ;4 ;0 ;5 ;
202 ;0 ;1 ;5 ;0 ;274 ;
202 ;0 ;2 ;1 ;0 ;252 ;
202 ;0 ;2 ;2 ;0 ;103 ;
202 ;0 ;2 ;3 ;0 ;305 ;
202 ;0 ;2 ;4 ;0 ;272 ;
202 ;0 ;2 ;5 ;0 ;248 ;
202 ;0 ;2 ;6 ;0 ;361 ;
202 ;0 ;3 ;1 ;0 ;166 ;
202 ;0 ;3 ;2 ;0 ;12 ;
202 ;0 ;3 ;3 ;0 ;258 ;
202 ;0 ;3 ;4 ;0 ;19 ;
202 ;0 ;3 ;5 ;0 ;98 ;
202 ;0 ;3 ;6 ;0 ;23 ;
202 ;0 ;4 ;1 ;0 ;261 ;
202 ;0 ;4 ;2 ;0 ;117 ;
202 ;0 ;4 ;3 ;0 ;316 ;
202 ;0 ;4 ;4 ;0 ;279 ;
202 ;0 ;4 ;5 ;0 ;182 ;
202 ;0 ;4 ;6 ;0 ;118 ;
202 ;0 ;5 ;1 ;0 ;168 ;
202 ;0 ;5 ;2 ;0 ;11 ;
202 ;0 ;5 ;3 ;0 ;7 ;
202 ;0 ;5 ;4 ;0 ;51 ;
202 ;0 ;5 ;5 ;0 ;286 ;
202 ;0 ;5 ;6 ;0 ;41 ;
202 ;0 ;6 ;1 ;0 ;179 ;
202 ;0 ;6 ;2 ;0 ;259 ;
202 ;0 ;6 ;3 ;0 ;101 ;
202 ;0 ;6 ;4 ;0 ;133 ;
202 ;0 ;6 ;5 ;0 ;209 ;
202 ;0 ;6 ;6 ;0 ;237 ;
202 ;0 ;7 ;1 ;0 ;232 ;
202 ;0 ;7 ;2 ;0 ;207 ;
202 ;0 ;7 ;3 ;0 ;212 ;
202 ;0 ;7 ;4 ;0 ;200 ;
202 ;0 ;7 ;5 ;0 ;46 ;
202 ;0 ;7 ;6 ;0 ;175 ;
202 ;0 ;8 ;1 ;0 ;265 ;
202 ;0 ;8 ;2 ;0 ;238 ;
202 ;0 ;8 ;3 ;0 ;262 ;
202 ;0 ;8 ;4 ;0 ;273 ;
202 ;0 ;8 ;5 ;0 ;134 ;
202 ;0 ;8 ;6 ;0 ;32 ;
202 ;0 ;9 ;1 ;0 ;297 ;
202 ;0 ;9 ;2 ;0 ;287 ;
202 ;0 ;9 ;3 ;0 ;163 ;
202 ;0 ;9 ;4 ;0 ;22 ;
202 ;0 ;9 ;5 ;0 ;229 ;
202 ;0 ;9 ;6 ;0 ;328 ;
202 ;0 ;10 ;1 ;0 ;304 ;
202 ;0 ;10 ;2 ;0 ;249 ;
202 ;0 ;10 ;3 ;0 ;181 ;
202 ;0 ;10 ;4 ;0 ;345 ;
202 ;0 ;10 ;5 ;0 ;21 ;
202 ;0 ;10 ;6 ;0 ;75 ;
203 ;0 ;0 ;1 ;0 ;108 ;
203 ;0 ;0 ;2 ;0 ;283 ;
203 ;0 ;0 ;3 ;0 ;94 ;
203 ;0 ;0 ;4 ;0 ;92 ;
203 ;0 ;0 ;5 ;0 ;27 ;
203 ;0 ;1 ;1 ;0 ;104 ;
203 ;0 ;1 ;2 ;0 ;105 ;
203 ;0 ;1 ;3 ;0 ;65 ;
203 ;0 ;1 ;4 ;0 ;53 ;
203 ;0 ;1 ;5 ;0 ;152 ;
203 ;0 ;1 ;6 ;0 ;102 ;
203 ;0 ;2 ;1 ;0 ;82 ;
203 ;0 ;2 ;2 ;0 ;43 ;
203 ;0 ;2 ;3 ;0 ;115 ;
203 ;0 ;2 ;4 ;0 ;34 ;
203 ;0 ;2 ;5 ;0 ;127 ;
203 ;0 ;2 ;6 ;0 ;99 ;
203 ;0 ;3 ;1 ;0 ;310 ;
203 ;0 ;3 ;2 ;0 ;210 ;
203 ;0 ;3 ;3 ;0 ;140 ;
203 ;0 ;3 ;4 ;0 ;284 ;
203 ;0 ;3 ;5 ;0 ;363 ;
203 ;0 ;3 ;6 ;0 ;110 ;
203 ;0 ;4 ;1 ;0 ;250 ;
203 ;0 ;4 ;2 ;0 ;106 ;
203 ;0 ;4 ;3 ;0 ;36 ;
203 ;0 ;4 ;4 ;0 ;144 ;
203 ;0 ;4 ;5 ;0 ;138 ;
203 ;0 ;4 ;6 ;0 ;276 ;
203 ;0 ;5 ;1 ;0 ;362 ;
203 ;0 ;5 ;2 ;0 ;185 ;
203 ;0 ;5 ;3 ;0 ;193 ;
203 ;0 ;5 ;4 ;0 ;360 ;
203 ;0 ;5 ;5 ;0 ;97 ;
203 ;0 ;5 ;6 ;0 ;9 ;
203 ;0 ;6 ;1 ;0 ;158 ;
203 ;0 ;6 ;2 ;0 ;77 ;
203 ;0 ;6 ;3 ;0 ;132 ;
203 ;0 ;6 ;4 ;0 ;218 ;
203 ;0 ;6 ;5 ;0 ;48 ;
203 ;0 ;6 ;6 ;0 ;52 ;
204 ;0 ;0 ;2 ;0 ;269 ;
204 ;0 ;0 ;3 ;0 ;294 ;
204 ;0 ;0 ;4 ;0 ;8 ;
204 ;0 ;0 ;5 ;0 ;192 ;
204 ;0 ;1 ;2 ;0 ;7 ;
204 ;0 ;1 ;3 ;0 ;227 ;
204 ;0 ;1 ;4 ;0 ;38 ;
204 ;0 ;1 ;5 ;0 ;88 ;
204 ;0 ;2 ;1 ;0 ;282 ;
204 ;0 ;2 ;2 ;0 ;199 ;
204 ;0 ;2 ;3 ;0 ;91 ;
204 ;0 ;2 ;4 ;0 ;166 ;
204 ;0 ;2 ;5 ;0 ;86 ;
