event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
301 ;0 ;0 ;0 ;0 ;0 ;0 ;39867080 ;" 11:04:27.08" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;3 ;0 ;1 ;45320 ;"       45.32" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;2 ;0 ;2 ;49080 ;"       49.08" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;4 ;0 ;3 ;49490 ;"       49.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;3 ;0 ;1 ;98570 ;"     1:38.57" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;4 ;0 ;2 ;104270 ;"     1:44.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;2 ;0 ;3 ;104860 ;"     1:44.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;150 ;3 ;0 ;1 ;154800 ;"     2:34.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;150 ;4 ;0 ;2 ;161430 ;"     2:41.43" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;150 ;2 ;0 ;3 ;161740 ;"     2:41.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;200 ;3 ;0 ;1 ;206630 ;"     3:26.63" ;" " ;206760 ;"     3:26.76" ;" " ;0 ;"" ;"" ;
301 ;0 ;0 ;200 ;4 ;0 ;2 ;214620 ;"     3:34.62" ;" " ;214830 ;"     3:34.83" ;" " ;0 ;"" ;"" ;
301 ;0 ;0 ;200 ;2 ;0 ;3 ;216210 ;"     3:36.21" ;" " ;216420 ;"     3:36.42" ;" " ;0 ;"" ;"" ;
301 ;0 ;1 ;0 ;0 ;0 ;0 ;40111610 ;" 11:08:31.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;5 ;0 ;1 ;43620 ;"       43.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;2 ;0 ;2 ;45770 ;"       45.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;4 ;0 ;3 ;46310 ;"       46.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;2 ;0 ;1 ;96210 ;"     1:36.21" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;4 ;0 ;2 ;96660 ;"     1:36.66" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;3 ;0 ;3 ;97860 ;"     1:37.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;5 ;0 ;4 ;98260 ;"     1:38.26" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;150 ;2 ;0 ;1 ;147330 ;"     2:27.33" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;150 ;4 ;0 ;2 ;148340 ;"     2:28.34" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;150 ;5 ;0 ;3 ;153950 ;"     2:33.95" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;200 ;2 ;0 ;1 ;193520 ;"     3:13.52" ;" " ;193660 ;"     3:13.66" ;" " ;0 ;"" ;"" ;
301 ;0 ;1 ;200 ;4 ;0 ;2 ;199110 ;"     3:19.11" ;" " ;199350 ;"     3:19.35" ;" " ;0 ;"" ;"" ;
301 ;0 ;1 ;200 ;3 ;0 ;3 ;205170 ;"     3:25.17" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;200 ;5 ;0 ;4 ;206300 ;"     3:26.30" ;" " ;206440 ;"     3:26.44" ;" " ;0 ;"" ;"" ;
301 ;0 ;2 ;0 ;0 ;0 ;0 ;40363820 ;" 11:12:43.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;1 ;0 ;1 ;42240 ;"       42.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
