id;event;round ;heat
1 ;301 ;0 ;0 ;
2 ;301 ;0 ;1 ;
3 ;301 ;0 ;2 ;
4 ;301 ;0 ;3 ;
5 ;301 ;0 ;4 ;
6 ;301 ;0 ;5 ;
7 ;301 ;0 ;6 ;
8 ;301 ;0 ;7 ;
9 ;301 ;0 ;8 ;
10 ;301 ;0 ;9 ;
11 ;301 ;0 ;10 ;
12 ;301 ;0 ;11 ;
13 ;301 ;0 ;12 ;
14 ;301 ;0 ;13 ;
15 ;301 ;0 ;14 ;
16 ;301 ;0 ;15 ;
17 ;301 ;0 ;16 ;
18 ;302 ;0 ;0 ;
19 ;302 ;0 ;1 ;
20 ;303 ;0 ;0 ;
21 ;303 ;0 ;1 ;
22 ;303 ;0 ;2 ;
23 ;303 ;0 ;3 ;
24 ;303 ;0 ;4 ;
25 ;303 ;0 ;5 ;
26 ;303 ;0 ;6 ;
27 ;303 ;0 ;7 ;
28 ;303 ;0 ;8 ;
29 ;303 ;0 ;9 ;
30 ;303 ;0 ;10 ;
31 ;303 ;0 ;11 ;
32 ;303 ;0 ;12 ;
33 ;303 ;0 ;13 ;
34 ;303 ;0 ;14 ;
35 ;303 ;0 ;15 ;
36 ;304 ;0 ;0 ;
37 ;304 ;0 ;1 ;
38 ;304 ;0 ;2 ;
39 ;304 ;0 ;3 ;
40 ;304 ;0 ;4 ;
41 ;304 ;0 ;5 ;
42 ;304 ;0 ;6 ;
43 ;304 ;0 ;7 ;
44 ;304 ;0 ;8 ;
45 ;305 ;0 ;0 ;
46 ;305 ;0 ;1 ;
47 ;305 ;0 ;2 ;
48 ;305 ;0 ;3 ;
49 ;305 ;0 ;4 ;
50 ;305 ;0 ;5 ;
51 ;305 ;0 ;6 ;
52 ;305 ;0 ;7 ;
53 ;305 ;0 ;8 ;
54 ;306 ;0 ;0 ;
55 ;306 ;0 ;1 ;
56 ;306 ;0 ;2 ;
57 ;306 ;0 ;3 ;
58 ;307 ;0 ;0 ;
59 ;307 ;0 ;1 ;
60 ;307 ;0 ;2 ;
61 ;307 ;0 ;3 ;
62 ;307 ;0 ;4 ;
63 ;307 ;0 ;5 ;
64 ;307 ;0 ;6 ;
65 ;307 ;0 ;7 ;
66 ;307 ;0 ;8 ;
67 ;307 ;0 ;9 ;
68 ;307 ;0 ;10 ;
69 ;307 ;0 ;11 ;
70 ;307 ;0 ;12 ;
71 ;307 ;0 ;13 ;
72 ;307 ;0 ;14 ;
73 ;307 ;0 ;15 ;
74 ;307 ;0 ;16 ;
75 ;307 ;0 ;17 ;
76 ;307 ;0 ;18 ;
77 ;401 ;0 ;0 ;
78 ;401 ;0 ;1 ;
79 ;401 ;0 ;2 ;
80 ;401 ;0 ;3 ;
81 ;401 ;0 ;4 ;
82 ;401 ;0 ;5 ;
83 ;401 ;0 ;6 ;
84 ;401 ;0 ;7 ;
85 ;401 ;0 ;8 ;
86 ;401 ;0 ;9 ;
87 ;402 ;0 ;0 ;
88 ;402 ;0 ;1 ;
89 ;402 ;0 ;2 ;
90 ;402 ;0 ;3 ;
91 ;402 ;0 ;4 ;
92 ;402 ;0 ;5 ;
93 ;403 ;0 ;0 ;
94 ;403 ;0 ;1 ;
95 ;403 ;0 ;2 ;
96 ;403 ;0 ;3 ;
97 ;403 ;0 ;4 ;
98 ;403 ;0 ;5 ;
99 ;403 ;0 ;6 ;
100 ;403 ;0 ;7 ;
101 ;403 ;0 ;8 ;
102 ;403 ;0 ;9 ;
103 ;403 ;0 ;10 ;
104 ;403 ;0 ;11 ;
105 ;404 ;0 ;0 ;
106 ;404 ;0 ;1 ;
107 ;404 ;0 ;2 ;
108 ;404 ;0 ;3 ;
109 ;404 ;0 ;4 ;
110 ;404 ;0 ;5 ;
111 ;404 ;0 ;6 ;
112 ;404 ;0 ;7 ;
113 ;404 ;0 ;8 ;
114 ;405 ;0 ;0 ;
115 ;405 ;0 ;1 ;
116 ;405 ;0 ;2 ;
117 ;405 ;0 ;3 ;
118 ;405 ;0 ;4 ;
119 ;405 ;0 ;5 ;
120 ;405 ;0 ;6 ;
121 ;405 ;0 ;7 ;
122 ;405 ;0 ;8 ;
123 ;405 ;0 ;9 ;
124 ;405 ;0 ;10 ;
125 ;405 ;0 ;11 ;
126 ;406 ;0 ;0 ;
127 ;406 ;0 ;1 ;
128 ;407 ;0 ;0 ;
129 ;407 ;0 ;1 ;
130 ;407 ;0 ;2 ;
131 ;407 ;0 ;3 ;
132 ;407 ;0 ;3 ;
133 ;407 ;0 ;4 ;
134 ;407 ;0 ;5 ;
135 ;407 ;0 ;6 ;
