event;round;nbHeat;idLen;idStyle;abCat;date;time
301 ;0 ;6 ;2 ;0 ;"G" ;"03/09/13" ;"00:00" ;
302 ;0 ;4 ;2 ;0 ;"B" ;"03/09/13" ;"00:00" ;
303 ;0 ;9 ;2 ;4 ;"G" ;"03/09/13" ;"00:00" ;
304 ;0 ;7 ;2 ;4 ;"B" ;"03/09/13" ;"00:00" ;
305 ;0 ;13 ;0 ;1 ;"G" ;"03/09/13" ;"00:00" ;
306 ;0 ;10 ;0 ;1 ;"B" ;"03/09/13" ;"00:00" ;
307 ;0 ;7 ;1 ;2 ;"G" ;"03/09/13" ;"00:00" ;
308 ;0 ;4 ;1 ;2 ;"B" ;"03/09/13" ;"00:00" ;
309 ;0 ;3 ;2 ;3 ;"G" ;"03/09/13" ;"00:00" ;
310 ;0 ;2 ;2 ;3 ;"B" ;"03/09/13" ;"00:00" ;
321 ;0 ;1 ;2 ;0 ;"G" ;"03/09/13" ;"00:00" ;
322 ;0 ;1 ;2 ;0 ;"G" ;"03/09/13" ;"00:00" ;
323 ;0 ;1 ;2 ;0 ;"G" ;"03/09/13" ;"00:00" ;
324 ;0 ;1 ;2 ;0 ;"B" ;"03/09/13" ;"00:00" ;
325 ;0 ;1 ;2 ;0 ;"B" ;"03/09/13" ;"00:00" ;
326 ;0 ;1 ;2 ;0 ;"B" ;"03/09/13" ;"00:00" ;
327 ;0 ;1 ;2 ;4 ;"G" ;"03/09/13" ;"00:00" ;
328 ;0 ;1 ;2 ;4 ;"G" ;"03/09/13" ;"00:00" ;
329 ;0 ;1 ;2 ;4 ;"G" ;"03/09/13" ;"00:00" ;
330 ;0 ;1 ;2 ;4 ;"B" ;"03/09/13" ;"00:00" ;
331 ;0 ;1 ;2 ;4 ;"B" ;"03/09/13" ;"00:00" ;
332 ;0 ;1 ;2 ;4 ;"B" ;"03/09/13" ;"00:00" ;
351 ;0 ;5 ;2 ;2 ;"G" ;"03/09/13" ;"00:00" ;
352 ;0 ;3 ;2 ;2 ;"B" ;"03/09/13" ;"00:00" ;
353 ;0 ;7 ;2 ;1 ;"G" ;"03/09/13" ;"00:00" ;
354 ;0 ;6 ;2 ;1 ;"B" ;"03/09/13" ;"00:00" ;
355 ;0 ;9 ;0 ;3 ;"G" ;"03/09/13" ;"00:00" ;
356 ;0 ;7 ;0 ;3 ;"B" ;"03/09/13" ;"00:00" ;
357 ;0 ;11 ;1 ;0 ;"G" ;"03/09/13" ;"00:00" ;
358 ;0 ;7 ;1 ;0 ;"B" ;"03/09/13" ;"00:00" ;
