event; round;heat;lane;relais;idBib;
301 ;0 ;0 ;1 ;0 ;71 ;
301 ;0 ;0 ;2 ;0 ;323 ;
301 ;0 ;0 ;3 ;0 ;99 ;
301 ;0 ;0 ;4 ;0 ;134 ;
301 ;0 ;0 ;5 ;0 ;75 ;
301 ;0 ;0 ;6 ;0 ;108 ;
301 ;0 ;0 ;7 ;0 ;193 ;
301 ;0 ;1 ;1 ;0 ;320 ;
301 ;0 ;1 ;2 ;0 ;802 ;
301 ;0 ;1 ;3 ;0 ;159 ;
301 ;0 ;1 ;4 ;0 ;111 ;
301 ;0 ;1 ;5 ;0 ;104 ;
301 ;0 ;1 ;6 ;0 ;308 ;
301 ;0 ;1 ;7 ;0 ;343 ;
301 ;0 ;2 ;1 ;0 ;43 ;
301 ;0 ;2 ;2 ;0 ;331 ;
301 ;0 ;2 ;3 ;0 ;317 ;
301 ;0 ;2 ;4 ;0 ;19 ;
301 ;0 ;2 ;5 ;0 ;292 ;
301 ;0 ;2 ;6 ;0 ;303 ;
301 ;0 ;2 ;7 ;0 ;23 ;
301 ;0 ;2 ;8 ;0 ;236 ;
301 ;0 ;3 ;1 ;0 ;202 ;
301 ;0 ;3 ;2 ;0 ;216 ;
301 ;0 ;3 ;3 ;0 ;122 ;
301 ;0 ;3 ;4 ;0 ;230 ;
301 ;0 ;3 ;5 ;0 ;31 ;
301 ;0 ;3 ;6 ;0 ;205 ;
301 ;0 ;3 ;7 ;0 ;213 ;
301 ;0 ;3 ;8 ;0 ;238 ;
301 ;0 ;4 ;1 ;0 ;333 ;
301 ;0 ;4 ;2 ;0 ;228 ;
301 ;0 ;4 ;3 ;0 ;129 ;
301 ;0 ;4 ;4 ;0 ;112 ;
301 ;0 ;4 ;5 ;0 ;13 ;
301 ;0 ;4 ;6 ;0 ;97 ;
301 ;0 ;4 ;7 ;0 ;46 ;
301 ;0 ;4 ;8 ;0 ;162 ;
301 ;0 ;5 ;1 ;0 ;235 ;
301 ;0 ;5 ;2 ;0 ;141 ;
301 ;0 ;5 ;3 ;0 ;52 ;
301 ;0 ;5 ;4 ;0 ;124 ;
301 ;0 ;5 ;5 ;0 ;212 ;
301 ;0 ;5 ;6 ;0 ;209 ;
301 ;0 ;5 ;7 ;0 ;147 ;
301 ;0 ;5 ;8 ;0 ;106 ;
302 ;0 ;0 ;1 ;0 ;29 ;
302 ;0 ;0 ;2 ;0 ;189 ;
302 ;0 ;0 ;3 ;0 ;45 ;
302 ;0 ;0 ;4 ;0 ;294 ;
302 ;0 ;0 ;5 ;0 ;215 ;
302 ;0 ;0 ;6 ;0 ;173 ;
302 ;0 ;0 ;7 ;0 ;799 ;
302 ;0 ;1 ;1 ;0 ;265 ;
302 ;0 ;1 ;2 ;0 ;42 ;
302 ;0 ;1 ;3 ;0 ;101 ;
302 ;0 ;1 ;4 ;0 ;307 ;
302 ;0 ;1 ;5 ;0 ;110 ;
302 ;0 ;1 ;6 ;0 ;198 ;
302 ;0 ;1 ;7 ;0 ;143 ;
302 ;0 ;2 ;1 ;0 ;327 ;
302 ;0 ;2 ;2 ;0 ;72 ;
302 ;0 ;2 ;3 ;0 ;288 ;
302 ;0 ;2 ;4 ;0 ;47 ;
302 ;0 ;2 ;5 ;0 ;127 ;
302 ;0 ;2 ;6 ;0 ;30 ;
302 ;0 ;2 ;7 ;0 ;287 ;
302 ;0 ;2 ;8 ;0 ;14 ;
302 ;0 ;3 ;1 ;0 ;200 ;
302 ;0 ;3 ;2 ;0 ;191 ;
302 ;0 ;3 ;3 ;0 ;168 ;
302 ;0 ;3 ;4 ;0 ;7 ;
302 ;0 ;3 ;5 ;0 ;3 ;
302 ;0 ;3 ;6 ;0 ;171 ;
302 ;0 ;3 ;7 ;0 ;332 ;
302 ;0 ;3 ;8 ;0 ;88 ;
303 ;0 ;0 ;2 ;0 ;184 ;
303 ;0 ;0 ;3 ;0 ;249 ;
303 ;0 ;0 ;4 ;0 ;314 ;
303 ;0 ;0 ;5 ;0 ;16 ;
303 ;0 ;0 ;6 ;0 ;105 ;
303 ;0 ;0 ;7 ;0 ;321 ;
303 ;0 ;1 ;1 ;0 ;95 ;
303 ;0 ;1 ;2 ;0 ;140 ;
303 ;0 ;1 ;3 ;0 ;285 ;
303 ;0 ;1 ;4 ;0 ;181 ;
303 ;0 ;1 ;5 ;0 ;268 ;
303 ;0 ;1 ;6 ;0 ;275 ;
303 ;0 ;1 ;7 ;0 ;135 ;
303 ;0 ;2 ;1 ;0 ;4 ;
303 ;0 ;2 ;2 ;0 ;44 ;
303 ;0 ;2 ;3 ;0 ;22 ;
303 ;0 ;2 ;4 ;0 ;244 ;
303 ;0 ;2 ;5 ;0 ;246 ;
303 ;0 ;2 ;6 ;0 ;352 ;
303 ;0 ;2 ;7 ;0 ;86 ;
303 ;0 ;2 ;8 ;0 ;26 ;
303 ;0 ;3 ;1 ;0 ;107 ;
303 ;0 ;3 ;2 ;0 ;25 ;
303 ;0 ;3 ;3 ;0 ;214 ;
303 ;0 ;3 ;4 ;0 ;169 ;
303 ;0 ;3 ;5 ;0 ;250 ;
303 ;0 ;3 ;6 ;0 ;192 ;
303 ;0 ;3 ;7 ;0 ;54 ;
303 ;0 ;3 ;8 ;0 ;276 ;
303 ;0 ;4 ;1 ;0 ;78 ;
303 ;0 ;4 ;2 ;0 ;113 ;
303 ;0 ;4 ;3 ;0 ;267 ;
303 ;0 ;4 ;4 ;0 ;146 ;
303 ;0 ;4 ;5 ;0 ;344 ;
303 ;0 ;4 ;6 ;0 ;27 ;
303 ;0 ;4 ;7 ;0 ;258 ;
303 ;0 ;4 ;8 ;0 ;76 ;
303 ;0 ;5 ;1 ;0 ;199 ;
303 ;0 ;5 ;2 ;0 ;133 ;
303 ;0 ;5 ;3 ;0 ;139 ;
303 ;0 ;5 ;4 ;0 ;90 ;
303 ;0 ;5 ;5 ;0 ;248 ;
303 ;0 ;5 ;6 ;0 ;325 ;
303 ;0 ;5 ;7 ;0 ;163 ;
303 ;0 ;5 ;8 ;0 ;59 ;
303 ;0 ;6 ;1 ;0 ;266 ;
303 ;0 ;6 ;2 ;0 ;138 ;
303 ;0 ;6 ;3 ;0 ;2 ;
303 ;0 ;6 ;4 ;0 ;255 ;
303 ;0 ;6 ;5 ;0 ;180 ;
303 ;0 ;6 ;6 ;0 ;39 ;
303 ;0 ;6 ;7 ;0 ;150 ;
303 ;0 ;6 ;8 ;0 ;80 ;
303 ;0 ;7 ;1 ;0 ;281 ;
303 ;0 ;7 ;2 ;0 ;93 ;
303 ;0 ;7 ;3 ;0 ;270 ;
303 ;0 ;7 ;4 ;0 ;342 ;
303 ;0 ;7 ;5 ;0 ;204 ;
303 ;0 ;7 ;6 ;0 ;68 ;
303 ;0 ;7 ;7 ;0 ;155 ;
303 ;0 ;7 ;8 ;0 ;154 ;
303 ;0 ;8 ;1 ;0 ;299 ;
303 ;0 ;8 ;2 ;0 ;233 ;
303 ;0 ;8 ;3 ;0 ;103 ;
303 ;0 ;8 ;4 ;0 ;118 ;
303 ;0 ;8 ;5 ;0 ;28 ;
