event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
401 ;0 ;0 ;0 ;0 ;0 ;0 ;34180240 ;"  9:29:40.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;6 ;0 ;1 ;44610 ;"       44.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;2 ;0 ;2 ;45320 ;"       45.32" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;5 ;0 ;3 ;45540 ;"       45.54" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;4 ;0 ;4 ;47750 ;"       47.75" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;7 ;0 ;5 ;47920 ;"       47.92" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;3 ;0 ;6 ;53580 ;"       53.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;5 ;0 ;1 ;93420 ;"     1:33.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;7 ;0 ;2 ;93570 ;"     1:33.57" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;6 ;0 ;3 ;95300 ;"     1:35.30" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;1 ;0 ;4 ;97250 ;"     1:37.25" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;2 ;0 ;5 ;97580 ;"     1:37.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;4 ;0 ;6 ;99440 ;"     1:39.44" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;3 ;0 ;7 ;103070 ;"     1:43.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;150 ;5 ;0 ;1 ;148350 ;"     2:28.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;150 ;7 ;0 ;2 ;152590 ;"     2:32.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;150 ;6 ;0 ;3 ;153840 ;"     2:33.84" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;150 ;1 ;0 ;4 ;157150 ;"     2:37.15" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;150 ;4 ;0 ;5 ;159000 ;"     2:39.00" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;150 ;2 ;0 ;6 ;159340 ;"     2:39.34" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;150 ;3 ;0 ;7 ;164840 ;"     2:44.84" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;5 ;0 ;1 ;190810 ;"     3:10.81" ;"B" ;190810 ;"     3:10.81" ;"B" ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;7 ;0 ;2 ;194230 ;"     3:14.23" ;" " ;194310 ;"     3:14.31" ;" " ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;6 ;0 ;3 ;197100 ;"     3:17.10" ;" " ;197230 ;"     3:17.23" ;" " ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;4 ;0 ;4 ;202950 ;"     3:22.95" ;" " ;203100 ;"     3:23.10" ;" " ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;1 ;0 ;5 ;203620 ;"     3:23.62" ;" " ;203760 ;"     3:23.76" ;" " ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;2 ;0 ;6 ;203630 ;"     3:23.63" ;" " ;203530 ;"     3:23.53" ;" " ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;3 ;0 ;7 ;209590 ;"     3:29.59" ;" " ;209590 ;"     3:29.59" ;" " ;0 ;"" ;"" ;
401 ;0 ;1 ;0 ;0 ;0 ;0 ;34420320 ;"  9:33:40.32" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;50 ;3 ;0 ;1 ;40070 ;"       40.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;50 ;2 ;0 ;2 ;40520 ;"       40.52" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
