id;event;round ;heat
1 ;401 ;0 ;0 ;
2 ;401 ;0 ;1 ;
3 ;401 ;0 ;1 ;
4 ;401 ;0 ;2 ;
5 ;401 ;0 ;3 ;
6 ;401 ;0 ;4 ;
7 ;402 ;0 ;0 ;
8 ;402 ;0 ;1 ;
9 ;402 ;0 ;2 ;
10 ;402 ;0 ;3 ;
11 ;403 ;0 ;0 ;
12 ;403 ;0 ;1 ;
13 ;403 ;0 ;2 ;
14 ;403 ;0 ;3 ;
15 ;403 ;0 ;4 ;
16 ;403 ;0 ;5 ;
17 ;403 ;0 ;6 ;
18 ;403 ;0 ;7 ;
19 ;403 ;0 ;8 ;
20 ;404 ;0 ;0 ;
21 ;404 ;0 ;1 ;
22 ;404 ;0 ;1 ;
23 ;404 ;0 ;2 ;
24 ;404 ;0 ;3 ;
25 ;404 ;0 ;4 ;
26 ;404 ;0 ;5 ;
27 ;404 ;0 ;6 ;
28 ;405 ;0 ;0 ;
29 ;405 ;0 ;1 ;
30 ;405 ;0 ;2 ;
31 ;405 ;0 ;3 ;
32 ;405 ;0 ;4 ;
33 ;406 ;0 ;0 ;
34 ;406 ;0 ;1 ;
35 ;406 ;0 ;2 ;
36 ;406 ;0 ;3 ;
37 ;407 ;0 ;0 ;
38 ;407 ;0 ;1 ;
39 ;407 ;0 ;2 ;
40 ;407 ;0 ;3 ;
41 ;407 ;0 ;4 ;
42 ;407 ;0 ;5 ;
43 ;407 ;0 ;6 ;
44 ;407 ;0 ;7 ;
45 ;407 ;0 ;8 ;
46 ;407 ;0 ;9 ;
47 ;407 ;0 ;10 ;
48 ;408 ;0 ;0 ;
49 ;408 ;0 ;1 ;
50 ;408 ;0 ;2 ;
51 ;408 ;0 ;3 ;
52 ;408 ;0 ;4 ;
53 ;408 ;0 ;5 ;
54 ;408 ;0 ;6 ;
55 ;409 ;0 ;0 ;
56 ;409 ;0 ;1 ;
57 ;409 ;0 ;2 ;
58 ;409 ;0 ;3 ;
59 ;409 ;0 ;4 ;
60 ;410 ;0 ;0 ;
61 ;410 ;0 ;1 ;
62 ;410 ;0 ;2 ;
63 ;410 ;0 ;3 ;
64 ;420 ;0 ;0 ;
65 ;421 ;0 ;0 ;
66 ;422 ;0 ;0 ;
67 ;423 ;0 ;0 ;
68 ;424 ;0 ;0 ;
69 ;425 ;0 ;0 ;
70 ;426 ;0 ;0 ;
71 ;427 ;0 ;0 ;
72 ;428 ;0 ;0 ;
73 ;429 ;0 ;0 ;
74 ;430 ;0 ;0 ;
75 ;431 ;0 ;0 ;
76 ;451 ;0 ;0 ;
77 ;451 ;0 ;1 ;
78 ;451 ;0 ;2 ;
79 ;451 ;0 ;3 ;
80 ;451 ;0 ;4 ;
81 ;451 ;0 ;5 ;
82 ;451 ;0 ;6 ;
83 ;451 ;0 ;7 ;
84 ;451 ;0 ;8 ;
85 ;451 ;0 ;9 ;
86 ;451 ;0 ;10 ;
87 ;452 ;0 ;0 ;
88 ;452 ;0 ;1 ;
89 ;452 ;0 ;2 ;
90 ;452 ;0 ;3 ;
91 ;452 ;0 ;4 ;
92 ;452 ;0 ;4 ;
93 ;452 ;0 ;5 ;
94 ;452 ;0 ;6 ;
95 ;452 ;0 ;7 ;
96 ;453 ;0 ;0 ;
97 ;453 ;0 ;1 ;
98 ;453 ;0 ;2 ;
99 ;453 ;0 ;2 ;
100 ;453 ;0 ;3 ;
101 ;453 ;0 ;4 ;
102 ;454 ;0 ;0 ;
103 ;454 ;0 ;1 ;
104 ;454 ;0 ;2 ;
105 ;454 ;0 ;3 ;
106 ;455 ;0 ;0 ;
107 ;455 ;0 ;1 ;
108 ;455 ;0 ;2 ;
109 ;455 ;0 ;3 ;
110 ;455 ;0 ;4 ;
111 ;455 ;0 ;5 ;
112 ;455 ;0 ;6 ;
113 ;455 ;0 ;7 ;
114 ;455 ;0 ;8 ;
115 ;455 ;0 ;9 ;
116 ;455 ;0 ;10 ;
117 ;455 ;0 ;11 ;
118 ;455 ;0 ;12 ;
119 ;455 ;0 ;13 ;
120 ;455 ;0 ;14 ;
121 ;456 ;0 ;0 ;
122 ;456 ;0 ;1 ;
123 ;456 ;0 ;2 ;
124 ;456 ;0 ;3 ;
125 ;456 ;0 ;4 ;
126 ;456 ;0 ;5 ;
127 ;456 ;0 ;6 ;
128 ;456 ;0 ;7 ;
129 ;456 ;0 ;8 ;
130 ;456 ;0 ;9 ;
131 ;456 ;0 ;10 ;
132 ;457 ;0 ;0 ;
133 ;457 ;0 ;1 ;
134 ;457 ;0 ;2 ;
135 ;457 ;0 ;3 ;
136 ;457 ;0 ;4 ;
137 ;457 ;0 ;5 ;
138 ;457 ;0 ;6 ;
139 ;457 ;0 ;7 ;
140 ;457 ;0 ;8 ;
141 ;458 ;0 ;0 ;
142 ;458 ;0 ;1 ;
143 ;458 ;0 ;2 ;
144 ;458 ;0 ;3 ;
145 ;458 ;0 ;4 ;
146 ;458 ;0 ;5 ;
