event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;67563420 ;" 18:46:03.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;1 ;31360 ;"       31.36" ;" " ;31370 ;"       31.37" ;" " ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;2 ;33210 ;"       33.21" ;" " ;33210 ;"       33.21" ;" " ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;3 ;34150 ;"       34.15" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;4 ;35390 ;"       35.39" ;" " ;35250 ;"       35.25" ;" " ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;5 ;36980 ;"       36.98" ;" " ;37000 ;"       37.00" ;" " ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;6 ;41900 ;"       41.90" ;" " ;42040 ;"       42.04" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;67642640 ;" 18:47:22.64" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;1 ;0 ;1 ;29590 ;"       29.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;2 ;29620 ;"       29.62" ;" " ;29660 ;"       29.66" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;3 ;30120 ;"       30.12" ;" " ;30200 ;"       30.20" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;4 ;30770 ;"       30.77" ;" " ;30900 ;"       30.90" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;5 ;31330 ;"       31.33" ;" " ;31200 ;"       31.20" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;6 ;34570 ;"       34.57" ;" " ;34700 ;"       34.70" ;" " ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;67959600 ;" 18:52:39.60" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;1 ;40740 ;"       40.74" ;" " ;40720 ;"       40.72" ;" " ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;2 ;41390 ;"       41.39" ;" " ;41530 ;"       41.53" ;" " ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;3 ;42130 ;"       42.13" ;" " ;42170 ;"       42.17" ;" " ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;1 ;0 ;4 ;45170 ;"       45.17" ;" " ;45300 ;"       45.30" ;" " ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;5 ;46720 ;"       46.72" ;" " ;46630 ;"       46.63" ;" " ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;6 ;0 ;6 ;50510 ;"       50.51" ;" " ;50520 ;"       50.52" ;" " ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;68050150 ;" 18:54:10.15" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;1 ;36450 ;"       36.45" ;" " ;36580 ;"       36.58" ;" " ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;2 ;41250 ;"       41.25" ;" " ;41230 ;"       41.23" ;" " ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;4 ;0 ;3 ;46700 ;"       46.70" ;" " ;46690 ;"       46.69" ;" " ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;1 ;0 ;4 ;47140 ;"       47.14" ;" " ;47330 ;"       47.33" ;" " ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;6 ;0 ;5 ;48530 ;"       48.53" ;" " ;48760 ;"       48.76" ;" " ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;6 ;53060 ;"       53.06" ;"B" ;53060 ;"       53.06" ;"B" ;0 ;"" ;"" ;
5 ;0 ;0 ;0 ;0 ;0 ;0 ;68138180 ;" 18:55:38.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;4 ;0 ;1 ;35610 ;"       35.61" ;" " ;35710 ;"       35.71" ;" " ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;2 ;0 ;2 ;36170 ;"       36.17" ;" " ;36210 ;"       36.21" ;" " ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;5 ;0 ;3 ;36180 ;"       36.18" ;" " ;36220 ;"       36.22" ;" " ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;6 ;0 ;4 ;37160 ;"       37.16" ;" " ;37300 ;"       37.30" ;" " ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;3 ;0 ;5 ;37340 ;"       37.34" ;" " ;37470 ;"       37.47" ;" " ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;1 ;0 ;6 ;41920 ;"       41.92" ;" " ;41910 ;"       41.91" ;" " ;0 ;"" ;"" ;
6 ;0 ;0 ;0 ;0 ;0 ;0 ;68230680 ;" 18:57:10.68" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
