event; round;heat;lane;relais;idBib;
10 ;0 ;0 ;2 ;0 ;27 ;
10 ;0 ;0 ;3 ;0 ;25 ;
10 ;0 ;0 ;4 ;0 ;28 ;
10 ;0 ;1 ;2 ;0 ;31 ;
10 ;0 ;1 ;3 ;0 ;18 ;
10 ;0 ;1 ;4 ;0 ;3 ;
10 ;0 ;1 ;5 ;0 ;20 ;
10 ;0 ;2 ;1 ;0 ;55 ;
10 ;0 ;2 ;2 ;0 ;19 ;
10 ;0 ;2 ;3 ;0 ;21 ;
10 ;0 ;2 ;4 ;0 ;29 ;
10 ;0 ;2 ;5 ;0 ;30 ;
10 ;0 ;2 ;6 ;0 ;46 ;
10 ;0 ;3 ;1 ;0 ;17 ;
10 ;0 ;3 ;2 ;0 ;13 ;
10 ;0 ;3 ;3 ;0 ;52 ;
10 ;0 ;3 ;4 ;0 ;12 ;
10 ;0 ;3 ;5 ;0 ;32 ;
10 ;0 ;3 ;6 ;0 ;6 ;
20 ;0 ;0 ;1 ;0 ;10 ;
20 ;0 ;0 ;2 ;0 ;35 ;
20 ;0 ;0 ;3 ;0 ;40 ;
20 ;0 ;0 ;4 ;0 ;23 ;
20 ;0 ;0 ;5 ;0 ;37 ;
20 ;0 ;1 ;1 ;0 ;9 ;
20 ;0 ;1 ;2 ;0 ;54 ;
20 ;0 ;1 ;3 ;0 ;8 ;
20 ;0 ;1 ;4 ;0 ;26 ;
20 ;0 ;1 ;5 ;0 ;53 ;
20 ;0 ;1 ;6 ;0 ;45 ;
30 ;0 ;0 ;1 ;0 ;44 ;
30 ;0 ;0 ;2 ;0 ;2 ;
30 ;0 ;0 ;3 ;0 ;16 ;
30 ;0 ;0 ;4 ;0 ;1 ;
30 ;0 ;0 ;5 ;0 ;43 ;
30 ;0 ;1 ;1 ;0 ;48 ;
30 ;0 ;1 ;2 ;0 ;38 ;
30 ;0 ;1 ;3 ;0 ;24 ;
30 ;0 ;1 ;4 ;0 ;14 ;
30 ;0 ;1 ;5 ;0 ;42 ;
40 ;0 ;0 ;2 ;0 ;33 ;
40 ;0 ;0 ;3 ;0 ;39 ;
40 ;0 ;0 ;4 ;0 ;50 ;
40 ;0 ;0 ;5 ;0 ;47 ;
40 ;0 ;1 ;1 ;0 ;41 ;
40 ;0 ;1 ;2 ;0 ;22 ;
40 ;0 ;1 ;3 ;0 ;56 ;
40 ;0 ;1 ;4 ;0 ;36 ;
40 ;0 ;1 ;5 ;0 ;15 ;
60 ;0 ;0 ;1 ;0 ;49 ;
60 ;0 ;0 ;2 ;0 ;29 ;
60 ;0 ;0 ;3 ;0 ;31 ;
60 ;0 ;0 ;4 ;0 ;18 ;
60 ;0 ;0 ;5 ;0 ;3 ;
60 ;0 ;1 ;1 ;0 ;20 ;
60 ;0 ;1 ;2 ;0 ;55 ;
60 ;0 ;1 ;3 ;0 ;25 ;
60 ;0 ;1 ;4 ;0 ;30 ;
60 ;0 ;1 ;5 ;0 ;19 ;
60 ;0 ;1 ;6 ;0 ;46 ;
60 ;0 ;2 ;1 ;0 ;32 ;
60 ;0 ;2 ;2 ;0 ;6 ;
60 ;0 ;2 ;3 ;0 ;52 ;
60 ;0 ;2 ;4 ;0 ;13 ;
60 ;0 ;2 ;5 ;0 ;17 ;
60 ;0 ;2 ;6 ;0 ;21 ;
70 ;0 ;0 ;2 ;0 ;10 ;
70 ;0 ;0 ;3 ;0 ;26 ;
70 ;0 ;0 ;4 ;0 ;45 ;
70 ;0 ;0 ;5 ;0 ;53 ;
70 ;0 ;1 ;2 ;0 ;37 ;
70 ;0 ;1 ;3 ;0 ;23 ;
70 ;0 ;1 ;4 ;0 ;54 ;
70 ;0 ;1 ;5 ;0 ;9 ;
80 ;0 ;0 ;1 ;0 ;2 ;
80 ;0 ;0 ;2 ;0 ;14 ;
80 ;0 ;0 ;3 ;0 ;49 ;
80 ;0 ;0 ;4 ;0 ;43 ;
80 ;0 ;0 ;5 ;0 ;7 ;
80 ;0 ;1 ;1 ;0 ;24 ;
80 ;0 ;1 ;2 ;0 ;42 ;
80 ;0 ;1 ;3 ;0 ;44 ;
80 ;0 ;1 ;4 ;0 ;38 ;
80 ;0 ;1 ;5 ;0 ;48 ;
90 ;0 ;0 ;1 ;0 ;56 ;
90 ;0 ;0 ;2 ;0 ;33 ;
90 ;0 ;0 ;3 ;0 ;51 ;
90 ;0 ;0 ;4 ;0 ;39 ;
90 ;0 ;0 ;5 ;0 ;36 ;
