event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
10 ;0 ;0 ;0 ;0 ;0 ;0 ;525070 ;"     8:45.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;0 ;50 ;5 ;0 ;1 ;41120 ;"       41.12" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;0 ;50 ;4 ;0 ;2 ;41250 ;"       41.25" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;0 ;50 ;3 ;0 ;3 ;41620 ;"       41.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;0 ;50 ;2 ;0 ;4 ;42850 ;"       42.85" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;0 ;100 ;5 ;0 ;1 ;90300 ;"     1:30.30" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;0 ;100 ;3 ;0 ;2 ;92530 ;"     1:32.53" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;0 ;100 ;4 ;0 ;3 ;92890 ;"     1:32.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;0 ;100 ;2 ;0 ;4 ;96220 ;"     1:36.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;0 ;150 ;3 ;0 ;1 ;145630 ;"     2:25.63" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;0 ;150 ;4 ;0 ;2 ;147890 ;"     2:27.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;0 ;150 ;2 ;0 ;3 ;151970 ;"     2:31.97" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;0 ;150 ;5 ;0 ;4 ;188400 ;"     3:08.40" ;" " ;188400 ;"     3:08.40" ;" " ;0 ;"" ;"" ;
10 ;0 ;0 ;200 ;3 ;0 ;1 ;195310 ;"     3:15.31" ;" " ;195410 ;"     3:15.41" ;" " ;0 ;"" ;"" ;
10 ;0 ;0 ;200 ;4 ;0 ;2 ;201790 ;"     3:21.79" ;" " ;201710 ;"     3:21.71" ;" " ;0 ;"" ;"" ;
10 ;0 ;0 ;200 ;2 ;0 ;3 ;206110 ;"     3:26.11" ;" " ;206440 ;"     3:26.44" ;" " ;0 ;"" ;"" ;
10 ;0 ;0 ;200 ;5 ;0 ;4 ;208620 ;"     3:28.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;0 ;0 ;0 ;0 ;987740 ;"    16:27.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;50 ;1 ;0 ;1 ;39820 ;"       39.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;50 ;2 ;0 ;2 ;39850 ;"       39.85" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;50 ;3 ;0 ;3 ;41400 ;"       41.40" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;50 ;5 ;0 ;4 ;42360 ;"       42.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;50 ;4 ;0 ;5 ;44840 ;"       44.84" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;100 ;2 ;0 ;1 ;84590 ;"     1:24.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;100 ;1 ;0 ;2 ;85000 ;"     1:25.00" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;100 ;5 ;0 ;3 ;89980 ;"     1:29.98" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;100 ;3 ;0 ;4 ;90490 ;"     1:30.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;100 ;4 ;0 ;5 ;96790 ;"     1:36.79" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;150 ;2 ;0 ;1 ;130740 ;"     2:10.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;150 ;1 ;0 ;2 ;131860 ;"     2:11.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;150 ;5 ;0 ;3 ;137850 ;"     2:17.85" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;150 ;3 ;0 ;4 ;140870 ;"     2:20.87" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;150 ;4 ;0 ;5 ;149350 ;"     2:29.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;1 ;200 ;2 ;0 ;1 ;175040 ;"     2:55.04" ;" " ;175170 ;"     2:55.17" ;" " ;0 ;"" ;"" ;
10 ;0 ;1 ;200 ;1 ;0 ;2 ;175140 ;"     2:55.14" ;" " ;175180 ;"     2:55.18" ;" " ;0 ;"" ;"" ;
10 ;0 ;1 ;200 ;5 ;0 ;3 ;184440 ;"     3:04.44" ;" " ;184500 ;"     3:04.50" ;" " ;0 ;"" ;"" ;
10 ;0 ;1 ;200 ;4 ;0 ;4 ;195260 ;"     3:15.26" ;" " ;195310 ;"     3:15.31" ;" " ;0 ;"" ;"" ;
10 ;0 ;1 ;200 ;3 ;0 ;0 ;0 ;"" ;"" ;187030 ;"     3:07.03" ;" " ;0 ;"" ;"" ;
10 ;0 ;2 ;0 ;0 ;0 ;0 ;1273540 ;"    21:13.54" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;0 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;25 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;50 ;3 ;0 ;1 ;35930 ;"       35.93" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;50 ;4 ;0 ;2 ;39080 ;"       39.08" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;50 ;5 ;0 ;3 ;40640 ;"       40.64" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;50 ;6 ;0 ;4 ;45050 ;"       45.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;50 ;1 ;0 ;5 ;45580 ;"       45.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;50 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;75 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;100 ;3 ;0 ;1 ;76020 ;"     1:16.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;100 ;4 ;0 ;2 ;83180 ;"     1:23.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;100 ;5 ;0 ;3 ;87490 ;"     1:27.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;100 ;1 ;0 ;4 ;95700 ;"     1:35.70" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;100 ;6 ;0 ;5 ;97050 ;"     1:37.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;100 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;125 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;150 ;3 ;0 ;1 ;117670 ;"     1:57.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;150 ;4 ;0 ;2 ;131230 ;"     2:11.23" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;150 ;5 ;0 ;3 ;136990 ;"     2:16.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;150 ;1 ;0 ;4 ;147270 ;"     2:27.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;150 ;6 ;0 ;5 ;149480 ;"     2:29.48" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;150 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;175 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;2 ;200 ;3 ;0 ;1 ;157290 ;"     2:37.29" ;" " ;157220 ;"     2:37.22" ;" " ;0 ;"" ;"" ;
10 ;0 ;2 ;200 ;4 ;0 ;2 ;171270 ;"     2:51.27" ;" " ;171310 ;"     2:51.31" ;" " ;0 ;"" ;"" ;
10 ;0 ;2 ;200 ;5 ;0 ;3 ;184980 ;"     3:04.98" ;" " ;185050 ;"     3:05.05" ;" " ;0 ;"" ;"" ;
10 ;0 ;2 ;200 ;1 ;0 ;4 ;197680 ;"     3:17.68" ;" " ;197820 ;"     3:17.82" ;" " ;0 ;"" ;"" ;
10 ;0 ;2 ;200 ;6 ;0 ;5 ;198330 ;"     3:18.33" ;" " ;198320 ;"     3:18.32" ;" " ;0 ;"" ;"" ;
10 ;0 ;2 ;200 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;0 ;0 ;0 ;0 ;1526200 ;"    25:26.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;0 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;25 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;50 ;5 ;0 ;1 ;42590 ;"       42.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;50 ;1 ;0 ;2 ;44560 ;"       44.56" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;50 ;4 ;0 ;3 ;51750 ;"       51.75" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;50 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;75 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;100 ;5 ;0 ;1 ;89970 ;"     1:29.97" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;100 ;1 ;0 ;2 ;99340 ;"     1:39.34" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;100 ;4 ;0 ;3 ;101310 ;"     1:41.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;100 ;2 ;0 ;4 ;105430 ;"     1:45.43" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;100 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;125 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;150 ;5 ;0 ;1 ;144650 ;"     2:24.65" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;150 ;4 ;0 ;2 ;160940 ;"     2:40.94" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;150 ;2 ;0 ;3 ;161900 ;"     2:41.90" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;150 ;1 ;0 ;4 ;162170 ;"     2:42.17" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;150 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;175 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
20 ;0 ;0 ;200 ;5 ;0 ;1 ;184840 ;"     3:04.84" ;" " ;184860 ;"     3:04.86" ;" " ;0 ;"" ;"" ;
20 ;0 ;0 ;200 ;1 ;0 ;2 ;205550 ;"     3:25.55" ;" " ;205490 ;"     3:25.49" ;" " ;0 ;"" ;"" ;
20 ;0 ;0 ;200 ;4 ;0 ;3 ;205700 ;"     3:25.70" ;" " ;205780 ;"     3:25.78" ;" " ;0 ;"" ;"" ;
