event; round;heat;lane;relais;idBib;
10 ;0 ;0 ;2 ;0 ;27 ;
10 ;0 ;0 ;3 ;0 ;25 ;
10 ;0 ;0 ;4 ;0 ;28 ;
10 ;0 ;0 ;5 ;0 ;31 ;
10 ;0 ;1 ;1 ;0 ;18 ;
10 ;0 ;1 ;2 ;0 ;20 ;
10 ;0 ;1 ;3 ;0 ;19 ;
10 ;0 ;1 ;4 ;0 ;56 ;
10 ;0 ;1 ;5 ;0 ;29 ;
10 ;0 ;2 ;1 ;0 ;46 ;
10 ;0 ;2 ;2 ;0 ;17 ;
10 ;0 ;2 ;3 ;0 ;13 ;
10 ;0 ;2 ;4 ;0 ;32 ;
10 ;0 ;2 ;5 ;0 ;6 ;
10 ;0 ;2 ;6 ;0 ;30 ;
20 ;0 ;0 ;1 ;0 ;61 ;
20 ;0 ;0 ;2 ;0 ;10 ;
20 ;0 ;0 ;3 ;0 ;40 ;
20 ;0 ;0 ;4 ;0 ;23 ;
20 ;0 ;0 ;5 ;0 ;37 ;
20 ;0 ;1 ;1 ;0 ;9 ;
20 ;0 ;1 ;2 ;0 ;54 ;
20 ;0 ;1 ;3 ;0 ;8 ;
20 ;0 ;1 ;4 ;0 ;26 ;
20 ;0 ;1 ;5 ;0 ;53 ;
20 ;0 ;1 ;6 ;0 ;45 ;
30 ;0 ;0 ;1 ;0 ;44 ;
30 ;0 ;0 ;2 ;0 ;2 ;
30 ;0 ;0 ;3 ;0 ;60 ;
30 ;0 ;0 ;4 ;0 ;16 ;
30 ;0 ;0 ;5 ;0 ;1 ;
30 ;0 ;0 ;6 ;0 ;58 ;
30 ;0 ;1 ;1 ;0 ;48 ;
30 ;0 ;1 ;2 ;0 ;14 ;
30 ;0 ;1 ;3 ;0 ;24 ;
30 ;0 ;1 ;4 ;0 ;57 ;
30 ;0 ;1 ;5 ;0 ;42 ;
30 ;0 ;1 ;6 ;0 ;55 ;
40 ;0 ;0 ;2 ;0 ;59 ;
40 ;0 ;0 ;3 ;0 ;33 ;
40 ;0 ;0 ;4 ;0 ;39 ;
40 ;0 ;0 ;5 ;0 ;50 ;
40 ;0 ;1 ;1 ;0 ;47 ;
40 ;0 ;1 ;2 ;0 ;15 ;
40 ;0 ;1 ;3 ;0 ;36 ;
40 ;0 ;1 ;4 ;0 ;22 ;
40 ;0 ;1 ;5 ;0 ;41 ;
60 ;0 ;0 ;2 ;0 ;62 ;
60 ;0 ;0 ;3 ;0 ;49 ;
60 ;0 ;0 ;4 ;0 ;29 ;
60 ;0 ;0 ;5 ;0 ;31 ;
60 ;0 ;1 ;1 ;0 ;18 ;
60 ;0 ;1 ;2 ;0 ;20 ;
60 ;0 ;1 ;3 ;0 ;56 ;
60 ;0 ;1 ;4 ;0 ;25 ;
60 ;0 ;1 ;5 ;0 ;30 ;
60 ;0 ;2 ;1 ;0 ;46 ;
60 ;0 ;2 ;2 ;0 ;17 ;
60 ;0 ;2 ;3 ;0 ;13 ;
60 ;0 ;2 ;4 ;0 ;6 ;
60 ;0 ;2 ;5 ;0 ;32 ;
60 ;0 ;2 ;6 ;0 ;19 ;
70 ;0 ;0 ;2 ;0 ;10 ;
70 ;0 ;0 ;3 ;0 ;26 ;
70 ;0 ;0 ;4 ;0 ;45 ;
70 ;0 ;0 ;5 ;0 ;53 ;
70 ;0 ;1 ;2 ;0 ;37 ;
70 ;0 ;1 ;3 ;0 ;23 ;
70 ;0 ;1 ;4 ;0 ;54 ;
70 ;0 ;1 ;5 ;0 ;9 ;
80 ;0 ;0 ;1 ;0 ;2 ;
80 ;0 ;0 ;2 ;0 ;14 ;
80 ;0 ;0 ;3 ;0 ;62 ;
80 ;0 ;0 ;4 ;0 ;49 ;
80 ;0 ;0 ;5 ;0 ;7 ;
80 ;0 ;1 ;1 ;0 ;48 ;
80 ;0 ;1 ;2 ;0 ;57 ;
80 ;0 ;1 ;3 ;0 ;44 ;
80 ;0 ;1 ;4 ;0 ;58 ;
80 ;0 ;1 ;5 ;0 ;42 ;
80 ;0 ;1 ;6 ;0 ;24 ;
90 ;0 ;0 ;1 ;0 ;33 ;
90 ;0 ;0 ;2 ;0 ;51 ;
90 ;0 ;0 ;3 ;0 ;39 ;
90 ;0 ;0 ;4 ;0 ;36 ;
90 ;0 ;0 ;5 ;0 ;50 ;
90 ;0 ;1 ;1 ;0 ;47 ;
90 ;0 ;1 ;2 ;0 ;15 ;
90 ;0 ;1 ;3 ;0 ;41 ;
