id;event;round ;heat
1 ;10 ;0 ;0 ;
2 ;10 ;0 ;0 ;
3 ;10 ;0 ;0 ;
4 ;10 ;0 ;1 ;
5 ;10 ;0 ;2 ;
6 ;20 ;0 ;0 ;
7 ;20 ;0 ;1 ;
8 ;30 ;0 ;0 ;
9 ;30 ;0 ;1 ;
10 ;40 ;0 ;0 ;
11 ;40 ;0 ;1 ;
12 ;60 ;0 ;0 ;
13 ;60 ;0 ;1 ;
14 ;60 ;0 ;2 ;
15 ;70 ;0 ;0 ;
16 ;70 ;0 ;1 ;
17 ;80 ;0 ;0 ;
18 ;80 ;0 ;1 ;
19 ;90 ;0 ;0 ;
20 ;90 ;0 ;1 ;
21 ;110 ;0 ;0 ;
22 ;110 ;0 ;1 ;
23 ;120 ;0 ;0 ;
24 ;120 ;0 ;1 ;
25 ;120 ;0 ;2 ;
26 ;130 ;0 ;0 ;
27 ;130 ;0 ;1 ;
28 ;140 ;0 ;0 ;
29 ;140 ;0 ;1 ;
30 ;140 ;0 ;2 ;
31 ;160 ;0 ;0 ;
32 ;160 ;0 ;1 ;
33 ;170 ;0 ;0 ;
34 ;170 ;0 ;1 ;
35 ;170 ;0 ;2 ;
36 ;180 ;0 ;0 ;
37 ;190 ;0 ;0 ;
38 ;190 ;0 ;1 ;
39 ;190 ;0 ;2 ;
