event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;1510570 ;"    25:10.57" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;4 ;0 ;1 ;62880 ;"     1:02.88" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;3 ;0 ;2 ;63920 ;"     1:03.92" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;4 ;0 ;1 ;130910 ;"     2:10.91" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;3 ;0 ;2 ;133760 ;"     2:13.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;4 ;0 ;1 ;194990 ;"     3:14.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;3 ;0 ;2 ;200520 ;"     3:20.52" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;200 ;4 ;0 ;1 ;259540 ;"     4:19.54" ;" " ;259590 ;"     4:19.59" ;" " ;0 ;"" ;"" ;
101 ;0 ;0 ;200 ;3 ;0 ;2 ;268870 ;"     4:28.87" ;"B" ;268870 ;"     4:28.87" ;"B" ;0 ;"" ;"" ;
103 ;0 ;0 ;0 ;0 ;0 ;0 ;1847460 ;"    30:47.46" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;0 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;25 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;50 ;5 ;0 ;1 ;39740 ;"       39.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;50 ;3 ;0 ;2 ;45260 ;"       45.26" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;50 ;4 ;0 ;3 ;50570 ;"       50.57" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;50 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;75 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;100 ;5 ;0 ;1 ;84670 ;"     1:24.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;100 ;3 ;0 ;2 ;94150 ;"     1:34.15" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;100 ;4 ;0 ;3 ;119810 ;"     1:59.81" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;100 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;125 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;150 ;5 ;0 ;1 ;131910 ;"     2:11.91" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;150 ;3 ;0 ;2 ;145110 ;"     2:25.11" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;150 ;4 ;0 ;3 ;197430 ;"     3:17.43" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;150 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;175 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;200 ;5 ;0 ;1 ;178840 ;"     2:58.84" ;" " ;178790 ;"     2:58.79" ;" " ;0 ;"" ;"" ;
103 ;0 ;0 ;200 ;3 ;0 ;2 ;194280 ;"     3:14.28" ;" " ;194370 ;"     3:14.37" ;" " ;0 ;"" ;"" ;
103 ;0 ;0 ;200 ;4 ;0 ;3 ;264460 ;"     4:24.46" ;" " ;264540 ;"     4:24.54" ;" " ;0 ;"" ;"" ;
103 ;0 ;0 ;200 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;0 ;0 ;0 ;0 ;2149610 ;"    35:49.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;50 ;2 ;0 ;1 ;39880 ;"       39.88" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;50 ;4 ;0 ;2 ;42110 ;"       42.11" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;50 ;5 ;0 ;3 ;42440 ;"       42.44" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;50 ;3 ;0 ;4 ;42660 ;"       42.66" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;100 ;4 ;0 ;1 ;88690 ;"     1:28.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;100 ;5 ;0 ;2 ;90410 ;"     1:30.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;100 ;2 ;0 ;3 ;90440 ;"     1:30.44" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;100 ;3 ;0 ;4 ;92490 ;"     1:32.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;150 ;4 ;0 ;1 ;136420 ;"     2:16.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;150 ;5 ;0 ;2 ;139240 ;"     2:19.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;150 ;2 ;0 ;3 ;142770 ;"     2:22.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;150 ;3 ;0 ;4 ;144270 ;"     2:24.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;200 ;4 ;0 ;1 ;179700 ;"     2:59.70" ;" " ;179690 ;"     2:59.69" ;" " ;0 ;"" ;"" ;
103 ;0 ;1 ;200 ;5 ;0 ;2 ;187090 ;"     3:07.09" ;" " ;187080 ;"     3:07.08" ;" " ;0 ;"" ;"" ;
103 ;0 ;1 ;200 ;2 ;0 ;3 ;193140 ;"     3:13.14" ;" " ;193210 ;"     3:13.21" ;" " ;0 ;"" ;"" ;
103 ;0 ;1 ;200 ;3 ;0 ;4 ;194350 ;"     3:14.35" ;" " ;194410 ;"     3:14.41" ;" " ;0 ;"" ;"" ;
103 ;0 ;2 ;0 ;0 ;0 ;0 ;2370560 ;"    39:30.56" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;2 ;50 ;6 ;0 ;1 ;36670 ;"       36.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;2 ;50 ;4 ;0 ;2 ;37540 ;"       37.54" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
