event; round;heat;lane;relais;idBib;
501 ;0 ;0 ;1 ;0 ;92 ;
501 ;0 ;0 ;2 ;0 ;28 ;
501 ;0 ;0 ;3 ;0 ;26 ;
501 ;0 ;0 ;4 ;0 ;33 ;
501 ;0 ;0 ;5 ;0 ;126 ;
501 ;0 ;1 ;1 ;0 ;134 ;
501 ;0 ;1 ;2 ;0 ;108 ;
501 ;0 ;1 ;3 ;0 ;87 ;
501 ;0 ;1 ;4 ;0 ;21 ;
501 ;0 ;1 ;5 ;0 ;83 ;
501 ;0 ;1 ;6 ;0 ;16 ;
502 ;0 ;0 ;2 ;0 ;110 ;
502 ;0 ;0 ;3 ;0 ;86 ;
502 ;0 ;0 ;4 ;0 ;23 ;
503 ;0 ;0 ;1 ;0 ;24 ;
503 ;0 ;0 ;2 ;0 ;77 ;
503 ;0 ;0 ;3 ;0 ;6 ;
503 ;0 ;0 ;4 ;0 ;78 ;
503 ;0 ;0 ;5 ;0 ;35 ;
503 ;0 ;1 ;1 ;0 ;93 ;
503 ;0 ;1 ;2 ;0 ;13 ;
503 ;0 ;1 ;3 ;0 ;7 ;
503 ;0 ;1 ;4 ;0 ;15 ;
503 ;0 ;1 ;5 ;0 ;88 ;
503 ;0 ;1 ;6 ;0 ;31 ;
504 ;0 ;0 ;2 ;0 ;22 ;
504 ;0 ;0 ;3 ;0 ;84 ;
504 ;0 ;0 ;4 ;0 ;8 ;
504 ;0 ;1 ;2 ;0 ;80 ;
504 ;0 ;1 ;3 ;0 ;79 ;
504 ;0 ;1 ;4 ;0 ;30 ;
504 ;0 ;1 ;5 ;0 ;32 ;
