id;event;round ;heat
1 ;801 ;0 ;0 ;
2 ;801 ;0 ;0 ;
3 ;801 ;0 ;0 ;
4 ;801 ;0 ;0 ;
5 ;801 ;0 ;0 ;
6 ;801 ;0 ;0 ;
7 ;801 ;0 ;0 ;
8 ;803 ;0 ;0 ;
9 ;803 ;0 ;0 ;
10 ;803 ;0 ;0 ;
11 ;803 ;0 ;0 ;
12 ;803 ;0 ;1 ;
13 ;804 ;0 ;0 ;
14 ;805 ;0 ;0 ;
15 ;805 ;0 ;1 ;
16 ;805 ;0 ;2 ;
17 ;806 ;0 ;0 ;
18 ;806 ;0 ;1 ;
19 ;807 ;0 ;0 ;
20 ;807 ;0 ;1 ;
21 ;808 ;0 ;0 ;
22 ;809 ;0 ;0 ;
23 ;809 ;0 ;1 ;
24 ;809 ;0 ;2 ;
25 ;809 ;0 ;3 ;
26 ;809 ;0 ;4 ;
27 ;809 ;0 ;5 ;
28 ;810 ;0 ;0 ;
29 ;810 ;0 ;1 ;
30 ;810 ;0 ;2 ;
31 ;810 ;0 ;3 ;
32 ;810 ;0 ;4 ;
33 ;811 ;0 ;0 ;
34 ;811 ;0 ;1 ;
35 ;811 ;0 ;2 ;
36 ;812 ;0 ;0 ;
37 ;812 ;0 ;1 ;
38 ;813 ;0 ;0 ;
39 ;813 ;0 ;1 ;
40 ;813 ;0 ;2 ;
41 ;813 ;0 ;3 ;
42 ;813 ;0 ;4 ;
43 ;814 ;0 ;0 ;
44 ;814 ;0 ;1 ;
45 ;814 ;0 ;2 ;
46 ;814 ;0 ;3 ;
47 ;815 ;0 ;0 ;
48 ;815 ;0 ;1 ;
49 ;815 ;0 ;2 ;
50 ;816 ;0 ;0 ;
51 ;816 ;0 ;1 ;
