id;event;round ;heat
1 ;101 ;0 ;0 ;
2 ;101 ;0 ;0 ;
3 ;101 ;0 ;0 ;
4 ;101 ;0 ;1 ;
5 ;101 ;0 ;1 ;
6 ;101 ;0 ;1 ;
7 ;101 ;0 ;2 ;
8 ;101 ;0 ;2 ;
9 ;101 ;0 ;2 ;
10 ;101 ;0 ;2 ;
11 ;101 ;0 ;3 ;
12 ;101 ;0 ;4 ;
13 ;102 ;0 ;0 ;
14 ;102 ;0 ;0 ;
15 ;102 ;0 ;1 ;
16 ;102 ;0 ;1 ;
17 ;102 ;0 ;1 ;
18 ;102 ;0 ;2 ;
19 ;102 ;0 ;2 ;
20 ;102 ;0 ;3 ;
21 ;102 ;0 ;3 ;
22 ;102 ;0 ;3 ;
23 ;102 ;0 ;4 ;
24 ;102 ;0 ;5 ;
25 ;102 ;0 ;6 ;
26 ;102 ;0 ;8 ;
27 ;102 ;0 ;9 ;
28 ;103 ;0 ;0 ;
29 ;103 ;0 ;1 ;
30 ;104 ;0 ;0 ;
31 ;104 ;0 ;1 ;
32 ;105 ;0 ;0 ;
33 ;105 ;0 ;1 ;
34 ;105 ;0 ;1 ;
35 ;105 ;0 ;2 ;
36 ;105 ;0 ;3 ;
37 ;106 ;0 ;0 ;
38 ;106 ;0 ;1 ;
39 ;107 ;0 ;0 ;
40 ;107 ;0 ;0 ;
41 ;107 ;0 ;0 ;
42 ;107 ;0 ;0 ;
