event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
301 ;0 ;0 ;0 ;0 ;0 ;0 ;24267370 ;"  6:44:27.37" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;2 ;0 ;1 ;43410 ;"       43.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;3 ;0 ;2 ;46450 ;"       46.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;4 ;0 ;3 ;48710 ;"       48.71" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;5 ;0 ;4 ;48780 ;"       48.78" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;2 ;0 ;1 ;96740 ;"     1:36.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;3 ;0 ;2 ;104820 ;"     1:44.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;5 ;0 ;3 ;105030 ;"     1:45.03" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;4 ;0 ;4 ;109660 ;"     1:49.66" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;150 ;2 ;0 ;1 ;153360 ;"     2:33.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;150 ;3 ;0 ;2 ;163790 ;"     2:43.79" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;150 ;5 ;0 ;3 ;164070 ;"     2:44.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;200 ;2 ;0 ;1 ;208430 ;"     3:28.43" ;" " ;208380 ;"     3:28.38" ;" " ;0 ;"" ;"" ;
301 ;0 ;0 ;200 ;3 ;0 ;2 ;217960 ;"     3:37.96" ;" " ;218030 ;"     3:38.03" ;" " ;0 ;"" ;"" ;
301 ;0 ;0 ;200 ;5 ;0 ;3 ;219970 ;"     3:39.97" ;" " ;220040 ;"     3:40.04" ;" " ;0 ;"" ;"" ;
301 ;0 ;0 ;200 ;4 ;0 ;4 ;231180 ;"     3:51.18" ;" " ;231240 ;"     3:51.24" ;" " ;0 ;"" ;"" ;
301 ;0 ;1 ;0 ;0 ;0 ;0 ;24523340 ;"  6:48:43.34" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;2 ;0 ;1 ;39760 ;"       39.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;3 ;0 ;2 ;40510 ;"       40.51" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;5 ;0 ;3 ;42110 ;"       42.11" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;4 ;0 ;4 ;43010 ;"       43.01" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;1 ;0 ;5 ;44310 ;"       44.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;3 ;0 ;1 ;85060 ;"     1:25.06" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;2 ;0 ;2 ;85190 ;"     1:25.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;5 ;0 ;3 ;89490 ;"     1:29.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;4 ;0 ;4 ;92100 ;"     1:32.10" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;1 ;0 ;5 ;94210 ;"     1:34.21" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;150 ;3 ;0 ;1 ;128790 ;"     2:08.79" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;150 ;2 ;0 ;2 ;129350 ;"     2:09.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;150 ;5 ;0 ;3 ;136940 ;"     2:16.94" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;150 ;1 ;0 ;4 ;146810 ;"     2:26.81" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;200 ;2 ;0 ;1 ;169550 ;"     2:49.55" ;" " ;169630 ;"     2:49.63" ;" " ;0 ;"" ;"" ;
301 ;0 ;1 ;200 ;3 ;0 ;2 ;171570 ;"     2:51.57" ;" " ;171620 ;"     2:51.62" ;" " ;0 ;"" ;"" ;
301 ;0 ;1 ;200 ;5 ;0 ;3 ;178720 ;"     2:58.72" ;" " ;178750 ;"     2:58.75" ;" " ;0 ;"" ;"" ;
301 ;0 ;1 ;200 ;4 ;0 ;4 ;188960 ;"     3:08.96" ;" " ;189100 ;"     3:09.10" ;" " ;0 ;"" ;"" ;
301 ;0 ;1 ;200 ;1 ;0 ;5 ;194430 ;"     3:14.43" ;" " ;194560 ;"     3:14.56" ;" " ;0 ;"" ;"" ;
301 ;0 ;2 ;0 ;0 ;0 ;0 ;24740930 ;"  6:52:20.93" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;5 ;0 ;1 ;43180 ;"       43.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;6 ;0 ;2 ;43510 ;"       43.51" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;3 ;0 ;3 ;50760 ;"       50.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;2 ;0 ;4 ;52410 ;"       52.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;6 ;0 ;1 ;93040 ;"     1:33.04" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;5 ;0 ;2 ;93210 ;"     1:33.21" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;4 ;0 ;3 ;93280 ;"     1:33.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;3 ;0 ;4 ;108300 ;"     1:48.30" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;2 ;0 ;5 ;115910 ;"     1:55.91" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
