event; round;heat;lane;relais;idBib;
301 ;0 ;0 ;2 ;0 ;104 ;
301 ;0 ;0 ;3 ;0 ;54 ;
301 ;0 ;0 ;4 ;0 ;93 ;
301 ;0 ;0 ;5 ;0 ;47 ;
301 ;0 ;1 ;1 ;0 ;70 ;
301 ;0 ;1 ;2 ;0 ;11 ;
301 ;0 ;1 ;3 ;0 ;145 ;
301 ;0 ;1 ;4 ;0 ;37 ;
301 ;0 ;1 ;5 ;0 ;32 ;
301 ;0 ;2 ;1 ;0 ;110 ;
301 ;0 ;2 ;2 ;0 ;73 ;
301 ;0 ;2 ;3 ;0 ;38 ;
301 ;0 ;2 ;4 ;0 ;49 ;
301 ;0 ;2 ;5 ;0 ;132 ;
301 ;0 ;2 ;6 ;0 ;60 ;
301 ;0 ;3 ;1 ;0 ;12 ;
301 ;0 ;3 ;2 ;0 ;136 ;
301 ;0 ;3 ;3 ;0 ;100 ;
301 ;0 ;3 ;4 ;0 ;33 ;
301 ;0 ;3 ;5 ;0 ;29 ;
301 ;0 ;3 ;6 ;0 ;95 ;
301 ;0 ;4 ;1 ;0 ;81 ;
301 ;0 ;4 ;2 ;0 ;105 ;
301 ;0 ;4 ;3 ;0 ;157 ;
301 ;0 ;4 ;4 ;0 ;65 ;
301 ;0 ;4 ;5 ;0 ;36 ;
301 ;0 ;4 ;6 ;0 ;111 ;
301 ;0 ;5 ;1 ;0 ;112 ;
301 ;0 ;5 ;2 ;0 ;17 ;
301 ;0 ;5 ;3 ;0 ;55 ;
301 ;0 ;5 ;4 ;0 ;88 ;
301 ;0 ;5 ;5 ;0 ;96 ;
301 ;0 ;5 ;6 ;0 ;114 ;
302 ;0 ;0 ;1 ;0 ;146 ;
302 ;0 ;0 ;2 ;0 ;61 ;
302 ;0 ;0 ;3 ;0 ;117 ;
302 ;0 ;0 ;4 ;0 ;150 ;
302 ;0 ;0 ;5 ;0 ;62 ;
302 ;0 ;0 ;6 ;0 ;156 ;
302 ;0 ;1 ;1 ;0 ;91 ;
302 ;0 ;1 ;2 ;0 ;24 ;
302 ;0 ;1 ;3 ;0 ;97 ;
302 ;0 ;1 ;4 ;0 ;75 ;
302 ;0 ;1 ;5 ;0 ;138 ;
302 ;0 ;1 ;6 ;0 ;109 ;
302 ;0 ;2 ;1 ;0 ;45 ;
302 ;0 ;2 ;2 ;0 ;57 ;
302 ;0 ;2 ;3 ;0 ;68 ;
302 ;0 ;2 ;4 ;0 ;90 ;
302 ;0 ;2 ;5 ;0 ;108 ;
302 ;0 ;2 ;6 ;0 ;152 ;
302 ;0 ;3 ;1 ;0 ;116 ;
302 ;0 ;3 ;2 ;0 ;25 ;
302 ;0 ;3 ;3 ;0 ;42 ;
302 ;0 ;3 ;4 ;0 ;82 ;
302 ;0 ;3 ;5 ;0 ;5 ;
302 ;0 ;3 ;6 ;0 ;6 ;
302 ;0 ;4 ;1 ;0 ;151 ;
302 ;0 ;4 ;2 ;0 ;153 ;
302 ;0 ;4 ;3 ;0 ;78 ;
302 ;0 ;4 ;4 ;0 ;120 ;
302 ;0 ;4 ;5 ;0 ;20 ;
302 ;0 ;4 ;6 ;0 ;40 ;
302 ;0 ;5 ;1 ;0 ;48 ;
302 ;0 ;5 ;2 ;0 ;99 ;
302 ;0 ;5 ;3 ;0 ;89 ;
302 ;0 ;5 ;4 ;0 ;128 ;
302 ;0 ;5 ;5 ;0 ;28 ;
302 ;0 ;5 ;6 ;0 ;79 ;
302 ;0 ;6 ;1 ;0 ;4 ;
302 ;0 ;6 ;2 ;0 ;44 ;
302 ;0 ;6 ;3 ;0 ;125 ;
302 ;0 ;6 ;4 ;0 ;50 ;
302 ;0 ;6 ;5 ;0 ;56 ;
302 ;0 ;6 ;6 ;0 ;30 ;
302 ;0 ;7 ;1 ;0 ;14 ;
302 ;0 ;7 ;2 ;0 ;115 ;
302 ;0 ;7 ;3 ;0 ;149 ;
302 ;0 ;7 ;4 ;0 ;94 ;
302 ;0 ;7 ;5 ;0 ;130 ;
302 ;0 ;7 ;6 ;0 ;3 ;
303 ;0 ;0 ;1 ;0 ;80 ;
303 ;0 ;0 ;2 ;0 ;134 ;
303 ;0 ;0 ;3 ;0 ;26 ;
303 ;0 ;0 ;4 ;0 ;129 ;
303 ;0 ;0 ;5 ;0 ;66 ;
304 ;0 ;0 ;2 ;0 ;59 ;
304 ;0 ;0 ;3 ;0 ;69 ;
304 ;0 ;0 ;4 ;0 ;18 ;
304 ;0 ;0 ;5 ;0 ;103 ;
304 ;0 ;1 ;2 ;0 ;127 ;
304 ;0 ;1 ;3 ;0 ;52 ;
304 ;0 ;1 ;4 ;0 ;154 ;
304 ;0 ;1 ;5 ;0 ;85 ;
305 ;0 ;0 ;2 ;0 ;76 ;
305 ;0 ;0 ;3 ;0 ;100 ;
305 ;0 ;0 ;4 ;0 ;33 ;
305 ;0 ;1 ;2 ;0 ;36 ;
305 ;0 ;1 ;3 ;0 ;96 ;
305 ;0 ;1 ;4 ;0 ;17 ;
305 ;0 ;1 ;5 ;0 ;21 ;
306 ;0 ;0 ;2 ;0 ;59 ;
306 ;0 ;0 ;3 ;0 ;18 ;
306 ;0 ;0 ;4 ;0 ;103 ;
306 ;0 ;1 ;2 ;0 ;127 ;
306 ;0 ;1 ;3 ;0 ;85 ;
306 ;0 ;1 ;4 ;0 ;147 ;
306 ;0 ;1 ;5 ;0 ;74 ;
306 ;0 ;2 ;1 ;0 ;7 ;
306 ;0 ;2 ;2 ;0 ;123 ;
306 ;0 ;2 ;3 ;0 ;52 ;
306 ;0 ;2 ;4 ;0 ;107 ;
306 ;0 ;2 ;5 ;0 ;133 ;
306 ;0 ;2 ;6 ;0 ;154 ;
