BOYS
EVENT,10/11,12,13,14,15,16,17/Over
50m Freestyle,35.3,33,30.7,30.4,28.1,26.9,25
100m Freestyle,1.19.50,1.11.70,1.05.40,1.03.30,1.01.60,57.5,53.5
200m Freestyle,2.51.90,2.35.70,2.24.10,2.19.00,2.12.30,2.04.90,1.59.60
400m Freestyle,5.50.00,5.38.40,5.06.07,5.01.01,4.40.70,4.29.30,4.16.00
1500m Freestyle,,23.08.00,21.18.20,20.15.40,18.55.80,18.05.00,17.35.00
50m Breaststroke,48.7,45.1,41.5,38.8,36.2,36.5,32.3
100m Breaststroke,1.44.40,1.34.80,1.28.80,1.23.70,1.20.30,1.18.80,1.12.30
200m Breaststroke,3.42.00,3.22.90,3.07.30,3.01.15,2.49.80,2.48.40,2.43.00
50m Butterfly,41.5,35.9,34.3,33.4,31.3,30,27.6
100m Butterfly,1.30.60,1.25.50,1.14.50,1.14.30,1.09.70,1.08.20,1.01.30
200m Butterfly,3.34.80,3.05.80,2.58.80,2.46.00,2.30.80,2.29.40,2.18.90
50m Backstroke,41.5,38.1,36.4,34.3,32.8,31.4,29.1
100m Backstroke,1.30.10,1.20.30,1.17.60,1.13.00,1.09.40,1.06.80,1.00.40
200m Backstroke,3.08.80,2.58.30,2.42.40,2.46.40,2.27.80,2.25.80,2.12.70
200m Ind Medley,3.13.80,3.02.20,2.47.20,2.38.00,2.29.20,2.26.30,2.15.20
400m Ind Medley,,6.31.70,5.42.40,5.30.80,5.19.20,5.26.00,5.10.80
GIRLS
EVENT,10/11,12,13,14,15,16,17/Over
50m Freestyle,35.3,33.2,31.2,30.2,29.4,29.1,27.7
100m Freestyle,1.17.70,1.13.00,1.07.20,1.04.90,1.03.90,1.03.10,58.4
200m Freestyle,2.53.10,2.38.30,2.25.10,2.19.30,2.16.30,2.15.50,2.07.40
400m Freestyle,6.07.80,5.35.60,5.03.40,4.43.50,4.40.90,4.46.00,4.27.10
800m Freestyle,,11.46.90,10.34.40,10.02.20,9.59.70,9.56.80,9.52.80
50m Breaststroke,47.1,45.1,40.1,40,38.8,38.5,38.4
100m Breaststroke,1.42.40,1.38.70,1.28.50,1.29.00,1.25.30,1.24.60,1.20.50
200m Breaststroke,3.39.60,3.28.40,3.07.80,3.06.70,2.57.70,3.02.10,2.52.80
50m Butterfly,42.2,37.4,34.7,33.25,32.8,32.3,30.2
100m Butterfly,1.34.30,1.27.30,1.17.90,1.16.40,1.12.20,1.11.40,1.06.50
200m Butterfly,3.30.10,3.11.70,3.01.50,2.52.00,2.44.40,2.36.50,2.33.00
50m Backstroke,40.9,37.8,35.8,34.6,34.2,33.9,33.3
100m Backstroke,1.27.90,1.23.30,1.16.50,1.14.90,1.13.70,1.13.60,1.07.80
200m Backstroke,3.12.20,3.02.00,2.40.40,2.37.30,2.36.80,2.35.80,2.20.86
200m Ind Medley,3.17.00,3.01.60,2.44.80,2.44.20,2.37.70,2.34.50,2.24.60
400m Ind Medley,,6.40.00,5.51.70,5.50.40,5.41.00,4.23.30,5.29.10
