BOYS
EVENT,10/11,12,13,14,15,16,17/Over
50m Freestyle,36.9,33.8,31.9,29.8,28.5,27.5,26.1
100m Freestyle,1.21.50,1.13.60,1.08.30,1.04.20,1.02.60,28.02.00,55.7
200m Freestyle,2.58.00,2.43.50,2.33.20,2.23.40,2.17.00,2.10.80,2.04.80
400m Freestyle,6.08.10,5.48.20,5.22.60,5.08.40,4.54.00,4.41.60,4.28.60
1500m Freestyle,,24.00.00,21.40.00,20.22.00,19.30.40,18.41.10,18.41.10
50m Breaststroke,49.6,46.1,42.9,40.5,37.5,37.2,35.6
100m Breaststroke,1.47.40,1.38.80,1.33.00,1.27.10,2.22.20,1.19.60,1.19.60
200m Breaststroke,3.52.00,3.32.30,3.21.00,3.08.50,2.56.70,2.54.30,2.49.30
50m Butterfly,42.6,39.1,36.4,33.9,32.5,31.4,28.3
100m Butterfly,1.38.70,1.26.50,1.18.30,1.16.40,1.12.50,1.09.30,1.03.30
200m Butterfly,3.45.00,3.15.30,3.00.50,2.50.50,2.40.80,2.36.90,2.31.00
50m Backstroke,42.6,39.2,38,34.7,33.3,32.4,30
100m Backstroke,1.32.10,1.24.20,1.19.60,1.14.80,1.11.50,1.08.90,1.03.70
200m Backstroke,3.15.40,3.04.40,2.48.30,2.39.70,2.32.30,2.28.50,2.18.10
200m Ind Medley,3.25.00,3.08.50,2.54.40,2.43.60,2.35.80,2.28.90,2.21.20
400m Ind Medley,,6.44.70,6.02.20,5.52.90,5.39.00,5.28.80,5.28.80
GIRLS
EVENT,10/11,12,13,14,15,16,17/Over
50m Freestyle,36.3,33.9,31.6,30.8,30,29.9,28.1
100m Freestyle,1.19.50,1.15.40,1.10.40,1.07.40,1.05.10,1.04.00,1.00.10
200m Freestyle,2.56.00,2.44.40,2.30.80,2.23.50,2.21.20,2.18.80,2.09.90
400m Freestyle,6.18.30,5.47.80,5.18.70,4.57.10,4.56.10,4.51.60,4.45.40
800m Freestyle,11.58.70,12.55.00,11.17.00,10.43.90,10.35.00,10.18.00,10.10.00
50m Breaststroke,48.9,45.5,42.1,41.8,40.6,40.3,39.5
100m Breaststroke,1.44.00,1.40.40,1.32.00,1.29.50,1.28.00,1.25.40,1.24.90
200m Breaststroke,3.48.10,3.31.20,3.16.70,3.11.50,3.06.00,3.05.20,2.59.50
50m Butterfly,44,39.3,35.6,34.5,33.3,33.3,32.4
100m Butterfly,1.36.80,1.28.20,1.22.30,1.19.30,1.16.10,1.13.80,1.13.00
200m Butterfly,3.50.00,3.15.30,3.03.00,2.54.00,2.49.10,2.43.90,2.43.90
50m Backstroke,42.4,39.9,37.2,35.9,34.8,34.5,34.3
100m Backstroke,1.30.90,1.25.10,1.19.18,1.17.80,1.15.00,1.14.40,1.14.40
200m Backstroke,3.16.90,3.02.40,2.50.60,2.44.90,2.42.30,2.38.90,2.37.10
200m Ind Medley,3.21.40,3.06.60,2.49.90,2.49.50,2.41.60,2.39.90,2.34.90
400m Ind Medley,,6.50.00,6.17.70,6.02.50,5.53.70,5.35.00,5.33.90
