
BOYS
EVENT,9/10,11/12,13/14,15/16,17/over
50m Freestyle,42.1,37.2,33.1,29.9,29
100m Freestyle,1.34.0,1.20.6,1.11.1,1.04.6,1.02.6
200m Freestyle,3.22.8,2.54.8,2.35.0,2.20.8,2.16.3
400m Freestyle,7.20.6,6.06.0,5.26.8,4.57.5,4.48.7
50m Breaststroke,55.1,48,41.9,37.7,36.4
100m Breaststroke,2.04.0,1.43.4,1.30.1,1.21.0,1.18.4
200m Breaststroke,4.17.8,3.42.4,3.15.3,2.55.8,2.50.7
50m Butterfly,47.4,41,36.4,32.5,31.5
100m Butterfly,1.48.0,1.30.4,1.19.1,1.10.7,1.08.8
200m Butterfly,4.08.3,3.18.2,2.54.7,2.35.5,2.31.7
50m Backstroke,48.6,42.5,37.6,33.9,32.6
100m Backstroke,1.46.0,1.30.5,1.19.7,1.11.5,1.09.3
200m Backstroke,3.43.8,3.13.3,2.51.1,2.34.3,2.29.8
100m Individual Medley,1.47.4,1.33.9,1.23.1,1.14.7,1.11.8
200m Individual Medley,3.49.7,3.17.6,2.55.8,2.38.2,2.33.7
400m Individual Medley,8.15.6,6.59.7,6.12.0,5.34.6,5.25.4

GIRLS
EVENT,9/10,11/12,13/14,15/16,17/over
50m Freestyle,42.6,37.7,34.3,32.5,32
100m Freestyle,1.34.0,1.21.3,1.13.5,1.09.9,1.08.7
200m Freestyle,3.24.5,2.55.4,2.38.0,2.30.2,2.28.0
400m Freestyle,7.25.4,6.04.9,5.29.8,5.13.8,5.10.2
50m Breaststroke,55.9,48.3,43.2,40.8,40.3
100m Breaststroke,2.04.0,1.43.5,1.32.3,1.27.1,1.26.2
200m Breaststroke,4.20.0,3.42.1,3.18.2,3.07.9,3.05.8
50m Butterfly,47.9,41.3,37.3,35.2,34.7
100m Butterfly,1.48.0,1.30.9,1.21.2,1.16.9,1.15.8
200m Butterfly,4.11.0,3.20.2,2.57.3,2.46.9,2.44.8
50m Backstroke,48.9,42.7,38.7,36.8,36.1
100m Backstroke,1.46.0,1.31.0,1.21.4,1.17.1,1.16.1
200m Backstroke,3.46.2,3.12.5,2.54.3,2.44.8,2.42.4
100m Individual Medley,1.48.8,1.34.2,1.24.9,1.20.9,1.19.4
200m Individual Medley,3.51.6,3.17.9,2.58.8,2.49.5,2.47.2
400m Individual Medley,8.12.3,6.57.3,6.14.4,5.55.8,5.50.5
