BOYS(LC)
EVENT,Age 11/12,Age 13,Age 14,Age 15,Age 16,Age 17/Over
50m Freestyle,32.20,30.10,29.10,27.60,27.20,25.40
100m Freestyle,1.10.80,1.05.90,1.02.80,58.90,58.30,54.80
200m Freestyle,2.30.80,2.22.20,2.15.90,2.09.40,2.07.70,2.01.50
400m Freestyle,5.09.00,4.55.70,4.43.00,4.32.40,4.30.60,4.17.20
1500m Freestyle,21.00.00,19.51.10,18.57.10,18.16.00,18.05.20,17.59.30
50m Breaststroke,43.20,40.20,38.30,37.10,35.40,33.40
100m Breaststroke,1.32.90,1.28.00,1.21.90,1.17.20,1.16.30,1.11.20
200m Breaststroke,3.17.70,3.09.50,2.57.00,2.49.40,2.46.70,2.37.00
50m Butterfly,36.50,33.80,32.90,30.20,30.00,28.00
100m Butterfly,1.23.50,1.18.80,1.12.90,1.06.90,1.05.40,1.01.70
200m Butterfly,3.06.80,3.01.40,2.42.60,2.31.10,2.30.50,2.27.90
50m Backstroke,37.30,35.30,33.90,31.60,32.00,30.50
100m Backstroke,1.19.30,1.15.40,1.12.20,1.07.20,1.07.40,1.03.60
200m Backstroke,2.48.00,2.40.00,2.32.10,2.28.80,2.23.70,2.18.10
200m Ind Medley,2.52.90,2.43.10,2.36.50,2.28.00,2.25.10,2.16.10
400m Ind Medley,6.08.50,5.41.00,5.25.50,5.09.80,5.10.70,4.48.70

BOYS(SC)
EVENT,Age 11/12,Age 13,Age 14,Age 15,Age 16,Age 17/Over
50m Freestyle,31.40,29.40,28.40,26.80,26.40,24.60
100m Freestyle,1.09.60,1.04.60,1.01.40,57.50,56.90,53.30
200m Freestyle,2.28.50,2.19.70,2.13.30,2.06.70,2.05.00,1.58.60
400m Freestyle,5.04.40,4.50.90,4.38.00,4.27.20,4.25.40,4.11.70
1500m Freestyle,20.43.50,19.33.60,18.38.80,17.57.00,17.46.00,17.40.00
50m Breaststroke,42.50,39.40,37.50,36.20,34.50,32.40
100m Breaststroke,1.31.50,1.26.60,1.20.30,1.15.60,1.14.60,1.09.40
200m Breaststroke,3.15.00,3.06.70,2.54.00,2.46.30,2.43.50,2.33.60
50m Butterfly,36.00,33.20,32.30,29.60,29.40,27.30
100m Butterfly,1.22.60,1.17.80,1.11.80,1.05.80,1.04.20,1.00.50
200m Butterfly,3.05.10,2.59.60,2.40.60,2.29.00,2.28.40,2.25.70
50m Backstroke,36.70,34.70,33.30,30.90,31.40,29.80
100m Backstroke,1.18.20,1.14.30,1.11.10,1.06.00,1.06.20,1.02.30
200m Backstroke,2.46.00,2.37.80,2.29.80,2.26.50,2.21.30,2.15.60
200m Ind Medley,2.50.60,2.40.70,2.34.00,2.25.30,2.22.40,2.13.20
400m Ind Medley,6.03.70,5.35.80,5.20.00,5.04.10,5.05.00,4.42.60
